match_id;game_in_series;teamA;teamB;teamA_win;A_GP;A_W;A_L;A_AGT;A_K;A_D;A_KD;A_CKPM;A_GPR;A_GSPD;A_EGR;A_MLR;A_GD15;A_FB%;A_FT%;A_F3T%;A_PPG;A_HLD%;A_GRB%;A_FD%;A_DRG%;A_ELD%;A_FBN%;A_BN%;A_LNE%;A_JNG%;A_WPM;A_CWPM;A_WCPM;B_GP;B_W;B_L;B_AGT;B_K;B_D;B_KD;B_CKPM;B_GPR;B_GSPD;B_EGR;B_MLR;B_GD15;B_FB%;B_FT%;B_F3T%;B_PPG;B_HLD%;B_GRB%;B_FD%;B_DRG%;B_ELD%;B_FBN%;B_BN%;B_LNE%;B_JNG%;B_WPM;B_CWPM;B_WCPM;tournament;year;month;day
147;1;50;1;1;6.0;0.0;6.0;32.1;57.0;117.0;0.49;0.9;-1.0;13;-1.0;-1.0;-1.0;18;18;-1;-1.0;11;16;9;5;-1;-1;6;8;11;3.43;1.45;1.38;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;10
147;2;50;1;0;6.0;0.0;6.0;32.1;57.0;117.0;0.49;0.9;-1.0;13;-1.0;-1.0;-1.0;18;18;-1;-1.0;11;16;9;5;-1;-1;6;8;11;3.43;1.45;1.38;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;10
147;3;50;1;0;6.0;0.0;6.0;32.1;57.0;117.0;0.49;0.9;-1.0;13;-1.0;-1.0;-1.0;18;18;-1;-1.0;11;16;9;5;-1;-1;6;8;11;3.43;1.45;1.38;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;10
147;4;50;1;0;6.0;0.0;6.0;32.1;57.0;117.0;0.49;0.9;-1.0;13;-1.0;-1.0;-1.0;18;18;-1;-1.0;11;16;9;5;-1;-1;6;8;11;3.43;1.45;1.38;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;10
158;1;24;55;1;8.0;6.0;2.0;30.8;128.0;79.0;1.62;0.84;-1.0;109;-1.0;-1.0;-1.0;25;12;-1;-1.0;19;25;30;34;-1;-1;2;39;47;3.47;1.24;1.35;7.0;6.0;1.0;31.6;123.0;87.0;1.41;0.94;-1.0;59;-1.0;-1.0;-1.0;27;33;-1;-1.0;27;24;20;26;-1;-1;26;31;63;3.4;1.28;1.66;5;2025;2;9
158;2;24;55;1;8.0;6.0;2.0;30.8;128.0;79.0;1.62;0.84;-1.0;109;-1.0;-1.0;-1.0;25;12;-1;-1.0;19;25;30;34;-1;-1;2;39;47;3.47;1.24;1.35;7.0;6.0;1.0;31.6;123.0;87.0;1.41;0.94;-1.0;59;-1.0;-1.0;-1.0;27;33;-1;-1.0;27;24;20;26;-1;-1;26;31;63;3.4;1.28;1.66;5;2025;2;9
158;3;24;55;1;8.0;6.0;2.0;30.8;128.0;79.0;1.62;0.84;-1.0;109;-1.0;-1.0;-1.0;25;12;-1;-1.0;19;25;30;34;-1;-1;2;39;47;3.47;1.24;1.35;7.0;6.0;1.0;31.6;123.0;87.0;1.41;0.94;-1.0;59;-1.0;-1.0;-1.0;27;33;-1;-1.0;27;24;20;26;-1;-1;26;31;63;3.4;1.28;1.66;5;2025;2;9
158;4;24;55;0;8.0;6.0;2.0;30.8;128.0;79.0;1.62;0.84;-1.0;109;-1.0;-1.0;-1.0;25;12;-1;-1.0;19;25;30;34;-1;-1;2;39;47;3.47;1.24;1.35;7.0;6.0;1.0;31.6;123.0;87.0;1.41;0.94;-1.0;59;-1.0;-1.0;-1.0;27;33;-1;-1.0;27;24;20;26;-1;-1;26;31;63;3.4;1.28;1.66;5;2025;2;9
158;5;24;55;0;8.0;6.0;2.0;30.8;128.0;79.0;1.62;0.84;-1.0;109;-1.0;-1.0;-1.0;25;12;-1;-1.0;19;25;30;34;-1;-1;2;39;47;3.47;1.24;1.35;7.0;6.0;1.0;31.6;123.0;87.0;1.41;0.94;-1.0;59;-1.0;-1.0;-1.0;27;33;-1;-1.0;27;24;20;26;-1;-1;26;31;63;3.4;1.28;1.66;5;2025;2;9
169;1;34;17;1;4.0;3.0;1.0;32.3;65.0;48.0;1.35;0.87;-1.0;53;-1.0;-1.0;-1.0;1;18;-1;-1.0;19;34;5;39;-1;-1;1;12;69;3.12;1.18;1.45;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;8
169;2;34;17;1;4.0;3.0;1.0;32.3;65.0;48.0;1.35;0.87;-1.0;53;-1.0;-1.0;-1.0;1;18;-1;-1.0;19;34;5;39;-1;-1;1;12;69;3.12;1.18;1.45;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;8
169;3;34;17;1;4.0;3.0;1.0;32.3;65.0;48.0;1.35;0.87;-1.0;53;-1.0;-1.0;-1.0;1;18;-1;-1.0;19;34;5;39;-1;-1;1;12;69;3.12;1.18;1.45;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;8
180;1;22;41;1;4.0;1.0;3.0;32.3;48.0;65.0;0.74;0.87;-1.0;1;-1.0;-1.0;-1.0;0;18;-1;-1.0;19;4;30;10;-1;-1;0;32;11;3.25;1.34;1.56;4.0;3.0;1.0;35.4;60.0;42.0;1.43;0.72;-1.0;78;-1.0;-1.0;-1.0;28;1;-1;-1.0;14;21;5;18;-1;-1;22;20;62;3.3;1.31;1.59;5;2025;1;25
180;2;22;41;1;4.0;1.0;3.0;32.3;48.0;65.0;0.74;0.87;-1.0;1;-1.0;-1.0;-1.0;0;18;-1;-1.0;19;4;30;10;-1;-1;0;32;11;3.25;1.34;1.56;4.0;3.0;1.0;35.4;60.0;42.0;1.43;0.72;-1.0;78;-1.0;-1.0;-1.0;28;1;-1;-1.0;14;21;5;18;-1;-1;22;20;62;3.3;1.31;1.59;5;2025;1;25
180;3;22;41;1;4.0;1.0;3.0;32.3;48.0;65.0;0.74;0.87;-1.0;1;-1.0;-1.0;-1.0;0;18;-1;-1.0;19;4;30;10;-1;-1;0;32;11;3.25;1.34;1.56;4.0;3.0;1.0;35.4;60.0;42.0;1.43;0.72;-1.0;78;-1.0;-1.0;-1.0;28;1;-1;-1.0;14;21;5;18;-1;-1;22;20;62;3.3;1.31;1.59;5;2025;1;25
180;4;22;41;0;4.0;1.0;3.0;32.3;48.0;65.0;0.74;0.87;-1.0;1;-1.0;-1.0;-1.0;0;18;-1;-1.0;19;4;30;10;-1;-1;0;32;11;3.25;1.34;1.56;4.0;3.0;1.0;35.4;60.0;42.0;1.43;0.72;-1.0;78;-1.0;-1.0;-1.0;28;1;-1;-1.0;14;21;5;18;-1;-1;22;20;62;3.3;1.31;1.59;5;2025;1;25
