"tournament","date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"LPL 2025 Split 2 Placements","2025-03-28","JD Gaming",6,4,2,30.5,89,83,1.07,0.93,,"0.3%",,,,"83%","50%",,,"67%","47%","67%","35%",,,"50%","50.7%","53.4%",3.56,1.2,1.34
"LPL 2025 Split 2 Placements","2025-03-28","LGD Gaming",6,1,5,33.2,85,115,0.74,1,,"-5.1%",,,,"33%","33%",,,"33%","56%","50%","48%",,,"40%","48.4%","45.6%",3.1,1.16,1.34
"LPL 2025 Split 2 Placements","2025-03-28","LNG Esports",6,0,6,29.8,57,100,0.57,0.88,,"-6.2%",,,,"50%","17%",,,"33%","42%","33%","32%",,,"0%","49.8%","46.2%",3.38,1.21,1.47
"LPL 2025 Split 2 Placements","2025-03-28","Ninjas in Pyjamas",3,2,1,29.2,37,41,0.9,0.89,,"1.5%",,,,"67%","67%",,,"67%","56%","33%","25%",,,"100%","50.4%","50.3%",3.14,1.13,1.6
"LPL 2025 Split 2 Placements","2025-03-28","Oh My God",3,0,3,29.2,16,59,0.27,0.86,,"-17.7%",,,,"0%","33%",,,"33%","44%","33%","27%",,,"0%","48.9%","43.1%",3.11,1.16,1.44
"LPL 2025 Split 2 Placements","2025-03-28","Royal Never Give Up",7,2,5,36.9,98,131,0.75,0.89,,"-8.5%",,,,"0%","0%",,,"14%","26%","29%","51%",,,"18%","49.9%","47.2%",3.58,1.4,1.59
"LPL 2025 Split 2 Placements","2025-03-28","Team WE",7,2,5,33.4,68,110,0.62,0.76,,"-5.7%",,,,"43%","29%",,,"57%","40%","57%","41%",,,"29%","49.6%","46.8%",3.4,1.29,1.63
"LPL 2025 Split 2 Placements","2025-03-28","ThunderTalk Gaming",6,3,3,30.9,76,83,0.92,0.86,,"3.6%",,,,"50%","67%",,,"50%","67%","33%","38%",,,"50%","50.0%","50.9%",3.2,1.29,1.53
"LPL 2025 Split 2 Placements","2025-03-28","Top Esports",3,3,0,27.7,62,16,3.88,0.94,,"15.5%",,,,"67%","100%",,,"67%","67%","67%","82%",,,"100%","50.5%","57.6%",3.47,1.39,1.14
"LPL 2025 Split 2 Placements","2025-03-28","Ultra Prime",7,3,4,36.8,88,100,0.88,0.73,,"-2.0%",,,,"57%","71%",,,"71%","57%","71%","43%",,,"60%","48.8%","51.1%",3.87,1.57,1.55
"LPL 2025 Split 2 Placements","2025-03-28","Weibo Gaming",6,5,1,30.5,79,47,1.68,0.69,,"4.8%",,,,"33%","50%",,,"50%","56%","50%","65%",,,"80%","50.2%","52.1%",3.44,1.29,1.61
"LPL 2025 Split 2 Placements","2025-03-29","Anyone's Legend",6,5,1,33.4,141,89,1.58,1.15,,"8.6%",,,,"100%","67%",,,"67%","53%","67%","68%",,,"86%","51.5%","51.1%",3.23,1.31,1.67
"LPL 2025 Split 2 Placements","2025-03-29","Bilibili Gaming",6,5,1,32.4,101,59,1.71,0.82,,"8.7%",,,,"33%","50%",,,"33%","53%","50%","65%",,,"86%","51.4%","52.2%",3.47,1.38,1.75
"LPL 2025 Split 2 Placements","2025-03-29","EDward Gaming",7,1,6,34.8,76,108,0.7,0.76,,"-5.9%",,,,"86%","71%",,,"57%","52%","43%","33%",,,"22%","49.0%","49.5%",3.76,1.41,1.58
