teamA;teamB;winA;Region_A;Games_A;Win rate_A;K:D_A;GPM_A;GDM_A;Game duration_A;Kills / game_A;Deaths / game_A;Towers killed_A;Towers lost_A;FB%_A;FT%_A;FOS%_A;DRAPG_A;DRA%_A;VGPG_A;HER%_A;ATAKHAN%_A;DRA@15_A;TD@15_A;GD@15_A;PPG_A;NASHPG_A;NASH%_A;CSM_A;DPM_A;WPM_A;VWPM_A;WCPM_A;Region_B;Games_B;Win rate_B;K:D_B;GPM_B;GDM_B;Game duration_B;Kills / game_B;Deaths / game_B;Towers killed_B;Towers lost_B;FB%_B;FT%_B;FOS%_B;DRAPG_B;DRA%_B;VGPG_B;HER%_B;ATAKHAN%_B;DRA@15_B;TD@15_B;GD@15_B;PPG_B;NASHPG_B;NASH%_B;CSM_B;DPM_B;WPM_B;VWPM_B;WCPM_B
87;85;0;0;64.0;37;1.09;1926.0;121.0;9;16.4;15.0;6.9;4.6;51.6;56.3;48.4;2.25;53.7;2.6;43.8;0;0;0;586.0;0;0.66;66.3;34.3;2888.0;3.5;1.33;1.52;0;75.0;19;0.91;1840.0;-51.0;13;15.0;16.5;5.4;6.4;61.3;53.3;48.0;2.27;50.7;2.1;41.3;0;0;0;-204.0;0;0.55;49.5;33.3;2646.0;3.3;1.31;1.58
95;44;0;0;67.0;21;1.02;1823.0;-16.0;18;14.1;13.8;5.5;6.1;53.7;46.3;41.8;2.34;49.7;2.3;52.2;0;0;0;92.0;0;0.48;46.9;33.4;2474.0;3.4;1.29;1.55;0;75.0;31;1.08;1871.0;52.0;36;16.3;15.0;6.5;5.7;44.0;58.7;42.7;2.71;57.1;2.1;42.7;0;0;0;-2.0;0;0.72;57.7;33.1;2795.0;3.1;1.16;1.53
85;46;1;0;75.0;19;0.91;1840.0;-51.0;13;15.0;16.5;5.4;6.4;61.3;53.3;48.0;2.27;50.7;2.1;41.3;0;0;0;-204.0;0;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;0;57.0;35;1.17;1898.0;85.0;22;16.2;13.7;6.9;5.2;42.1;35.1;22.8;2.25;50.9;1.9;61.4;0;0;0;219.0;0;0.56;55.0;34.1;2649.0;3.6;1.29;1.45
32;44;0;0;68.0;15;0.91;1835.0;-79.0;20;15.4;17.0;5.5;6.5;45.6;42.6;25.0;2.09;44.4;2.2;51.5;0;0;0;-328.0;0;0.44;35.1;33.1;2548.0;3.4;1.36;1.5;0;75.0;31;1.08;1871.0;52.0;36;16.3;15.0;6.5;5.7;44.0;58.7;42.7;2.71;57.1;2.1;42.7;0;0;0;-2.0;0;0.72;57.7;33.1;2795.0;3.1;1.16;1.53
1;95;1;0;85.0;41;1.46;1928.0;151.0;15;18.0;12.3;6.9;4.3;62.4;70.6;70.6;2.59;59.0;2.3;58.3;2;4;6;581.0;3;0.67;65.0;34.0;2801.0;3.5;1.31;1.67;0;67.0;21;1.02;1823.0;-16.0;18;14.1;13.8;5.5;6.1;53.7;46.3;41.8;2.34;49.7;2.3;52.2;0;0;0;92.0;0;0.48;46.9;33.4;2474.0;3.4;1.29;1.55
87;9;0;0;64.0;37;1.09;1926.0;121.0;9;16.4;15.0;6.9;4.6;51.6;56.3;48.4;2.25;53.7;2.6;43.8;0;0;0;586.0;0;0.66;66.3;34.3;2888.0;3.5;1.33;1.52;0;91.0;36;1.2;1914.0;105.0;11;17.4;14.4;7.0;4.6;51.6;54.9;50.5;2.56;58.4;2.4;62.6;1;24;6;825.0;30;0.6;58.4;33.6;2814.0;3.3;1.3;1.58
46;95;0;0;57.0;35;1.17;1898.0;85.0;22;16.2;13.7;6.9;5.2;42.1;35.1;22.8;2.25;50.9;1.9;61.4;0;0;0;219.0;0;0.56;55.0;34.1;2649.0;3.6;1.29;1.45;0;67.0;21;1.02;1823.0;-16.0;18;14.1;13.8;5.5;6.1;53.7;46.3;41.8;2.34;49.7;2.3;52.2;0;0;0;92.0;0;0.48;46.9;33.4;2474.0;3.4;1.29;1.55
1;85;1;0;85.0;41;1.46;1928.0;151.0;15;18.0;12.3;6.9;4.3;62.4;70.6;70.6;2.59;59.0;2.3;58.3;2;4;6;581.0;3;0.67;65.0;34.0;2801.0;3.5;1.31;1.67;0;75.0;19;0.91;1840.0;-51.0;13;15.0;16.5;5.4;6.4;61.3;53.3;48.0;2.27;50.7;2.1;41.3;0;0;0;-204.0;0;0.55;49.5;33.3;2646.0;3.3;1.31;1.58
9;44;1;0;91.0;36;1.2;1914.0;105.0;11;17.4;14.4;7.0;4.6;51.6;54.9;50.5;2.56;58.4;2.4;62.6;1;24;6;825.0;30;0.6;58.4;33.6;2814.0;3.3;1.3;1.58;0;75.0;31;1.08;1871.0;52.0;36;16.3;15.0;6.5;5.7;44.0;58.7;42.7;2.71;57.1;2.1;42.7;0;0;0;-2.0;0;0.72;57.7;33.1;2795.0;3.1;1.16;1.53
87;32;1;0;64.0;37;1.09;1926.0;121.0;9;16.4;15.0;6.9;4.6;51.6;56.3;48.4;2.25;53.7;2.6;43.8;0;0;0;586.0;0;0.66;66.3;34.3;2888.0;3.5;1.33;1.52;0;68.0;15;0.91;1835.0;-79.0;20;15.4;17.0;5.5;6.5;45.6;42.6;25.0;2.09;44.4;2.2;51.5;0;0;0;-328.0;0;0.44;35.1;33.1;2548.0;3.4;1.36;1.5
95;78;1;0;67.0;21;1.02;1823.0;-16.0;18;14.1;13.8;5.5;6.1;53.7;46.3;41.8;2.34;49.7;2.3;52.2;0;0;0;92.0;0;0.48;46.9;33.4;2474.0;3.4;1.29;1.55;0;52.0;6;0.62;1764.0;-173.0;1;11.1;17.7;4.2;7.3;42.3;34.6;34.6;1.46;33.3;2.9;56.9;0;0;0;-908.0;0;0.23;28.5;33.1;2474.0;3.4;1.38;1.45
85;52;1;0;75.0;19;0.91;1840.0;-51.0;13;15.0;16.5;5.4;6.4;61.3;53.3;48.0;2.27;50.7;2.1;41.3;0;0;0;-204.0;0;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;0;26.0;20;0.96;1835.0;-28.0;21;15.0;15.6;5.5;6.5;38.5;50.0;34.6;2.12;47.0;2.8;38.5;0;0;0;-385.0;0;0.54;48.6;32.6;2701.0;3.1;1.18;1.54
32;63;1;0;68.0;15;0.91;1835.0;-79.0;20;15.4;17.0;5.5;6.5;45.6;42.6;25.0;2.09;44.4;2.2;51.5;0;0;0;-328.0;0;0.44;35.1;33.1;2548.0;3.4;1.36;1.5;0;54.0;9;0.78;1801.0;-127.0;30;14.2;18.3;4.6;7.1;48.1;44.4;37.0;1.91;40.4;2.1;44.4;0;0;0;-780.0;0;0.56;45.5;32.5;2601.0;3.2;1.13;1.42
44;23;1;0;75.0;31;1.08;1871.0;52.0;36;16.3;15.0;6.5;5.7;44.0;58.7;42.7;2.71;57.1;2.1;42.7;0;0;0;-2.0;0;0.72;57.7;33.1;2795.0;3.1;1.16;1.53;0;24.0;16;1.01;1794.0;-32.0;42;13.1;13.0;5.5;6.3;62.5;50.0;45.8;2.38;50.1;2.6;66.7;0;0;0;729.0;0;0.33;34.2;33.6;2469.0;3.6;1.38;1.58
21;48;0;3;52.0;22;1.08;1836.0;25.0;22;14.2;13.2;5.6;5.7;46.2;42.3;50.0;2.31;50.8;1.7;57.7;18;14;5;194.0;9;0.52;49.3;33.9;2549.0;3.5;1.45;1.69;3;57.0;28;1.16;1836.0;14.0;12;14.9;12.8;5.7;5.6;52.6;54.4;61.4;2.79;61.1;2.6;49.1;35;23;6;-140.0;17;0.56;59.2;33.2;2563.0;3.6;1.44;1.67
21;64;1;3;52.0;22;1.08;1836.0;25.0;22;14.2;13.2;5.6;5.7;46.2;42.3;50.0;2.31;50.8;1.7;57.7;18;14;5;194.0;9;0.52;49.3;33.9;2549.0;3.5;1.45;1.69;3;48.0;23;0.84;1845.0;-19.0;3;13.5;16.0;6.1;5.5;43.8;50.0;35.4;1.56;38.1;2.5;47.9;17;2;5;-154.0;22;0.71;57.5;33.1;2612.0;3.6;1.5;1.46
42;5;1;3;50.0;39;1.17;1885.0;74.0;13;16.2;13.7;6.3;4.7;50.0;70.0;70.0;2.62;57.1;2.3;48.0;29;13;6;628.0;24;0.52;54.2;34.3;2762.0;3.5;1.24;1.68;3;46.0;11;0.83;1808.0;-87.0;3;13.3;16.1;5.2;6.2;54.3;39.1;47.8;2.24;51.1;2.7;43.5;8;21;5;-471.0;20;0.41;44.3;33.0;2639.0;3.4;1.34;1.46
65;39;0;3;47.0;10;0.86;1803.0;-100.0;10;12.3;14.3;4.5;6.7;68.1;42.6;48.9;1.98;42.8;1.6;55.3;5;22;1;-350.0;4;0.28;27.4;34.6;2433.0;3.5;1.31;1.49;3;65.0;44;1.59;1957.0;238.0;7;16.4;10.3;7.6;3.3;58.5;60.0;61.5;2.71;61.3;2.4;58.5;36;19;6;696.0;10;0.74;72.3;35.0;2865.0;3.5;1.3;1.71
48;17;1;3;57.0;28;1.16;1836.0;14.0;12;14.9;12.8;5.7;5.6;52.6;54.4;61.4;2.79;61.1;2.6;49.1;35;23;6;-140.0;17;0.56;59.2;33.2;2563.0;3.6;1.44;1.67;3;42.0;8;0.71;1769.0;-161.0;25;12.2;17.1;4.3;7.0;42.9;38.1;35.7;2.07;45.5;2.1;47.6;13;7;1;-851.0;11;0.36;27.0;33.4;2439.0;3.5;1.19;1.49
21;16;1;3;52.0;22;1.08;1836.0;25.0;22;14.2;13.2;5.6;5.7;46.2;42.3;50.0;2.31;50.8;1.7;57.7;18;14;5;194.0;9;0.52;49.3;33.9;2549.0;3.5;1.45;1.69;3;43.0;0;0.6;1736.0;-212.0;16;9.8;16.5;3.6;7.9;37.2;37.2;25.6;1.51;33.0;2.2;51.2;15;3;1;-598.0;6;0.35;33.3;33.8;2309.0;3.4;1.29;1.53
64;77;1;3;48.0;23;0.84;1845.0;-19.0;3;13.5;16.0;6.1;5.5;43.8;50.0;35.4;1.56;38.1;2.5;47.9;17;2;5;-154.0;22;0.71;57.5;33.1;2612.0;3.6;1.5;1.46;3;72.0;34;1.22;1903.0;96.0;17;16.2;13.2;6.6;4.8;44.4;59.7;50.0;2.39;53.8;1.9;40.3;26;20;7;497.0;26;0.63;62.3;34.0;2808.0;3.7;1.35;1.53
48;39;0;3;57.0;28;1.16;1836.0;14.0;12;14.9;12.8;5.7;5.6;52.6;54.4;61.4;2.79;61.1;2.6;49.1;35;23;6;-140.0;17;0.56;59.2;33.2;2563.0;3.6;1.44;1.67;3;65.0;44;1.59;1957.0;238.0;7;16.4;10.3;7.6;3.3;58.5;60.0;61.5;2.71;61.3;2.4;58.5;36;19;6;696.0;10;0.74;72.3;35.0;2865.0;3.5;1.3;1.71
17;65;1;3;42.0;8;0.71;1769.0;-161.0;25;12.2;17.1;4.3;7.0;42.9;38.1;35.7;2.07;45.5;2.1;47.6;13;7;1;-851.0;11;0.36;27.0;33.4;2439.0;3.5;1.19;1.49;3;47.0;10;0.86;1803.0;-100.0;10;12.3;14.3;4.5;6.7;68.1;42.6;48.9;1.98;42.8;1.6;55.3;5;22;1;-350.0;4;0.28;27.4;34.6;2433.0;3.5;1.31;1.49
77;42;0;3;72.0;34;1.22;1903.0;96.0;17;16.2;13.2;6.6;4.8;44.4;59.7;50.0;2.39;53.8;1.9;40.3;26;20;7;497.0;26;0.63;62.3;34.0;2808.0;3.7;1.35;1.53;3;50.0;39;1.17;1885.0;74.0;13;16.2;13.7;6.3;4.7;50.0;70.0;70.0;2.62;57.1;2.3;48.0;29;13;6;628.0;24;0.52;54.2;34.3;2762.0;3.5;1.24;1.68
5;16;1;3;46.0;11;0.83;1808.0;-87.0;3;13.3;16.1;5.2;6.2;54.3;39.1;47.8;2.24;51.1;2.7;43.5;8;21;5;-471.0;20;0.41;44.3;33.0;2639.0;3.4;1.34;1.46;3;43.0;0;0.6;1736.0;-212.0;16;9.8;16.5;3.6;7.9;37.2;37.2;25.6;1.51;33.0;2.2;51.2;15;3;1;-598.0;6;0.35;33.3;33.8;2309.0;3.4;1.29;1.53
5;48;0;3;46.0;11;0.83;1808.0;-87.0;3;13.3;16.1;5.2;6.2;54.3;39.1;47.8;2.24;51.1;2.7;43.5;8;21;5;-471.0;20;0.41;44.3;33.0;2639.0;3.4;1.34;1.46;3;57.0;28;1.16;1836.0;14.0;12;14.9;12.8;5.7;5.6;52.6;54.4;61.4;2.79;61.1;2.6;49.1;35;23;6;-140.0;17;0.56;59.2;33.2;2563.0;3.6;1.44;1.67
65;64;0;3;47.0;10;0.86;1803.0;-100.0;10;12.3;14.3;4.5;6.7;68.1;42.6;48.9;1.98;42.8;1.6;55.3;5;22;1;-350.0;4;0.28;27.4;34.6;2433.0;3.5;1.31;1.49;3;48.0;23;0.84;1845.0;-19.0;3;13.5;16.0;6.1;5.5;43.8;50.0;35.4;1.56;38.1;2.5;47.9;17;2;5;-154.0;22;0.71;57.5;33.1;2612.0;3.6;1.5;1.46
16;77;0;3;43.0;0;0.6;1736.0;-212.0;16;9.8;16.5;3.6;7.9;37.2;37.2;25.6;1.51;33.0;2.2;51.2;15;3;1;-598.0;6;0.35;33.3;33.8;2309.0;3.4;1.29;1.53;3;72.0;34;1.22;1903.0;96.0;17;16.2;13.2;6.6;4.8;44.4;59.7;50.0;2.39;53.8;1.9;40.3;26;20;7;497.0;26;0.63;62.3;34.0;2808.0;3.7;1.35;1.53
42;21;0;3;50.0;39;1.17;1885.0;74.0;13;16.2;13.7;6.3;4.7;50.0;70.0;70.0;2.62;57.1;2.3;48.0;29;13;6;628.0;24;0.52;54.2;34.3;2762.0;3.5;1.24;1.68;3;52.0;22;1.08;1836.0;25.0;22;14.2;13.2;5.6;5.7;46.2;42.3;50.0;2.31;50.8;1.7;57.7;18;14;5;194.0;9;0.52;49.3;33.9;2549.0;3.5;1.45;1.69
64;48;0;3;48.0;23;0.84;1845.0;-19.0;3;13.5;16.0;6.1;5.5;43.8;50.0;35.4;1.56;38.1;2.5;47.9;17;2;5;-154.0;22;0.71;57.5;33.1;2612.0;3.6;1.5;1.46;3;57.0;28;1.16;1836.0;14.0;12;14.9;12.8;5.7;5.6;52.6;54.4;61.4;2.79;61.1;2.6;49.1;35;23;6;-140.0;17;0.56;59.2;33.2;2563.0;3.6;1.44;1.67
39;17;1;3;65.0;44;1.59;1957.0;238.0;7;16.4;10.3;7.6;3.3;58.5;60.0;61.5;2.71;61.3;2.4;58.5;36;19;6;696.0;10;0.74;72.3;35.0;2865.0;3.5;1.3;1.71;3;42.0;8;0.71;1769.0;-161.0;25;12.2;17.1;4.3;7.0;42.9;38.1;35.7;2.07;45.5;2.1;47.6;13;7;1;-851.0;11;0.36;27.0;33.4;2439.0;3.5;1.19;1.49
77;5;1;3;72.0;34;1.22;1903.0;96.0;17;16.2;13.2;6.6;4.8;44.4;59.7;50.0;2.39;53.8;1.9;40.3;26;20;7;497.0;26;0.63;62.3;34.0;2808.0;3.7;1.35;1.53;3;46.0;11;0.83;1808.0;-87.0;3;13.3;16.1;5.2;6.2;54.3;39.1;47.8;2.24;51.1;2.7;43.5;8;21;5;-471.0;20;0.41;44.3;33.0;2639.0;3.4;1.34;1.46
65;21;1;3;47.0;10;0.86;1803.0;-100.0;10;12.3;14.3;4.5;6.7;68.1;42.6;48.9;1.98;42.8;1.6;55.3;5;22;1;-350.0;4;0.28;27.4;34.6;2433.0;3.5;1.31;1.49;3;52.0;22;1.08;1836.0;25.0;22;14.2;13.2;5.6;5.7;46.2;42.3;50.0;2.31;50.8;1.7;57.7;18;14;5;194.0;9;0.52;49.3;33.9;2549.0;3.5;1.45;1.69
16;17;0;3;43.0;0;0.6;1736.0;-212.0;16;9.8;16.5;3.6;7.9;37.2;37.2;25.6;1.51;33.0;2.2;51.2;15;3;1;-598.0;6;0.35;33.3;33.8;2309.0;3.4;1.29;1.53;3;42.0;8;0.71;1769.0;-161.0;25;12.2;17.1;4.3;7.0;42.9;38.1;35.7;2.07;45.5;2.1;47.6;13;7;1;-851.0;11;0.36;27.0;33.4;2439.0;3.5;1.19;1.49
39;42;1;3;65.0;44;1.59;1957.0;238.0;7;16.4;10.3;7.6;3.3;58.5;60.0;61.5;2.71;61.3;2.4;58.5;36;19;6;696.0;10;0.74;72.3;35.0;2865.0;3.5;1.3;1.71;3;50.0;39;1.17;1885.0;74.0;13;16.2;13.7;6.3;4.7;50.0;70.0;70.0;2.62;57.1;2.3;48.0;29;13;6;628.0;24;0.52;54.2;34.3;2762.0;3.5;1.24;1.68
39;77;1;3;65.0;44;1.59;1957.0;238.0;7;16.4;10.3;7.6;3.3;58.5;60.0;61.5;2.71;61.3;2.4;58.5;36;19;6;696.0;10;0.74;72.3;35.0;2865.0;3.5;1.3;1.71;3;72.0;34;1.22;1903.0;96.0;17;16.2;13.2;6.6;4.8;44.4;59.7;50.0;2.39;53.8;1.9;40.3;26;20;7;497.0;26;0.63;62.3;34.0;2808.0;3.7;1.35;1.53
42;16;1;3;50.0;39;1.17;1885.0;74.0;13;16.2;13.7;6.3;4.7;50.0;70.0;70.0;2.62;57.1;2.3;48.0;29;13;6;628.0;24;0.52;54.2;34.3;2762.0;3.5;1.24;1.68;3;43.0;0;0.6;1736.0;-212.0;16;9.8;16.5;3.6;7.9;37.2;37.2;25.6;1.51;33.0;2.2;51.2;15;3;1;-598.0;6;0.35;33.3;33.8;2309.0;3.4;1.29;1.53
48;65;1;3;57.0;28;1.16;1836.0;14.0;12;14.9;12.8;5.7;5.6;52.6;54.4;61.4;2.79;61.1;2.6;49.1;35;23;6;-140.0;17;0.56;59.2;33.2;2563.0;3.6;1.44;1.67;3;47.0;10;0.86;1803.0;-100.0;10;12.3;14.3;4.5;6.7;68.1;42.6;48.9;1.98;42.8;1.6;55.3;5;22;1;-350.0;4;0.28;27.4;34.6;2433.0;3.5;1.31;1.49
17;64;0;3;42.0;8;0.71;1769.0;-161.0;25;12.2;17.1;4.3;7.0;42.9;38.1;35.7;2.07;45.5;2.1;47.6;13;7;1;-851.0;11;0.36;27.0;33.4;2439.0;3.5;1.19;1.49;3;48.0;23;0.84;1845.0;-19.0;3;13.5;16.0;6.1;5.5;43.8;50.0;35.4;1.56;38.1;2.5;47.9;17;2;5;-154.0;22;0.71;57.5;33.1;2612.0;3.6;1.5;1.46
16;39;0;3;43.0;0;0.6;1736.0;-212.0;16;9.8;16.5;3.6;7.9;37.2;37.2;25.6;1.51;33.0;2.2;51.2;15;3;1;-598.0;6;0.35;33.3;33.8;2309.0;3.4;1.29;1.53;3;65.0;44;1.59;1957.0;238.0;7;16.4;10.3;7.6;3.3;58.5;60.0;61.5;2.71;61.3;2.4;58.5;36;19;6;696.0;10;0.74;72.3;35.0;2865.0;3.5;1.3;1.71
21;5;1;3;52.0;22;1.08;1836.0;25.0;22;14.2;13.2;5.6;5.7;46.2;42.3;50.0;2.31;50.8;1.7;57.7;18;14;5;194.0;9;0.52;49.3;33.9;2549.0;3.5;1.45;1.69;3;46.0;11;0.83;1808.0;-87.0;3;13.3;16.1;5.2;6.2;54.3;39.1;47.8;2.24;51.1;2.7;43.5;8;21;5;-471.0;20;0.41;44.3;33.0;2639.0;3.4;1.34;1.46
77;65;1;3;72.0;34;1.22;1903.0;96.0;17;16.2;13.2;6.6;4.8;44.4;59.7;50.0;2.39;53.8;1.9;40.3;26;20;7;497.0;26;0.63;62.3;34.0;2808.0;3.7;1.35;1.53;3;47.0;10;0.86;1803.0;-100.0;10;12.3;14.3;4.5;6.7;68.1;42.6;48.9;1.98;42.8;1.6;55.3;5;22;1;-350.0;4;0.28;27.4;34.6;2433.0;3.5;1.31;1.49
48;42;1;3;57.0;28;1.16;1836.0;14.0;12;14.9;12.8;5.7;5.6;52.6;54.4;61.4;2.79;61.1;2.6;49.1;35;23;6;-140.0;17;0.56;59.2;33.2;2563.0;3.6;1.44;1.67;3;50.0;39;1.17;1885.0;74.0;13;16.2;13.7;6.3;4.7;50.0;70.0;70.0;2.62;57.1;2.3;48.0;29;13;6;628.0;24;0.52;54.2;34.3;2762.0;3.5;1.24;1.68
17;21;0;3;42.0;8;0.71;1769.0;-161.0;25;12.2;17.1;4.3;7.0;42.9;38.1;35.7;2.07;45.5;2.1;47.6;13;7;1;-851.0;11;0.36;27.0;33.4;2439.0;3.5;1.19;1.49;3;52.0;22;1.08;1836.0;25.0;22;14.2;13.2;5.6;5.7;46.2;42.3;50.0;2.31;50.8;1.7;57.7;18;14;5;194.0;9;0.52;49.3;33.9;2549.0;3.5;1.45;1.69
5;64;0;3;46.0;11;0.83;1808.0;-87.0;3;13.3;16.1;5.2;6.2;54.3;39.1;47.8;2.24;51.1;2.7;43.5;8;21;5;-471.0;20;0.41;44.3;33.0;2639.0;3.4;1.34;1.46;3;48.0;23;0.84;1845.0;-19.0;3;13.5;16.0;6.1;5.5;43.8;50.0;35.4;1.56;38.1;2.5;47.9;17;2;5;-154.0;22;0.71;57.5;33.1;2612.0;3.6;1.5;1.46
42;17;1;3;50.0;39;1.17;1885.0;74.0;13;16.2;13.7;6.3;4.7;50.0;70.0;70.0;2.62;57.1;2.3;48.0;29;13;6;628.0;24;0.52;54.2;34.3;2762.0;3.5;1.24;1.68;3;42.0;8;0.71;1769.0;-161.0;25;12.2;17.1;4.3;7.0;42.9;38.1;35.7;2.07;45.5;2.1;47.6;13;7;1;-851.0;11;0.36;27.0;33.4;2439.0;3.5;1.19;1.49
64;16;0;3;48.0;23;0.84;1845.0;-19.0;3;13.5;16.0;6.1;5.5;43.8;50.0;35.4;1.56;38.1;2.5;47.9;17;2;5;-154.0;22;0.71;57.5;33.1;2612.0;3.6;1.5;1.46;3;43.0;0;0.6;1736.0;-212.0;16;9.8;16.5;3.6;7.9;37.2;37.2;25.6;1.51;33.0;2.2;51.2;15;3;1;-598.0;6;0.35;33.3;33.8;2309.0;3.4;1.29;1.53
39;5;1;3;65.0;44;1.59;1957.0;238.0;7;16.4;10.3;7.6;3.3;58.5;60.0;61.5;2.71;61.3;2.4;58.5;36;19;6;696.0;10;0.74;72.3;35.0;2865.0;3.5;1.3;1.71;3;46.0;11;0.83;1808.0;-87.0;3;13.3;16.1;5.2;6.2;54.3;39.1;47.8;2.24;51.1;2.7;43.5;8;21;5;-471.0;20;0.41;44.3;33.0;2639.0;3.4;1.34;1.46
21;77;0;3;52.0;22;1.08;1836.0;25.0;22;14.2;13.2;5.6;5.7;46.2;42.3;50.0;2.31;50.8;1.7;57.7;18;14;5;194.0;9;0.52;49.3;33.9;2549.0;3.5;1.45;1.69;3;72.0;34;1.22;1903.0;96.0;17;16.2;13.2;6.6;4.8;44.4;59.7;50.0;2.39;53.8;1.9;40.3;26;20;7;497.0;26;0.63;62.3;34.0;2808.0;3.7;1.35;1.53
65;42;0;3;47.0;10;0.86;1803.0;-100.0;10;12.3;14.3;4.5;6.7;68.1;42.6;48.9;1.98;42.8;1.6;55.3;5;22;1;-350.0;4;0.28;27.4;34.6;2433.0;3.5;1.31;1.49;3;50.0;39;1.17;1885.0;74.0;13;16.2;13.7;6.3;4.7;50.0;70.0;70.0;2.62;57.1;2.3;48.0;29;13;6;628.0;24;0.52;54.2;34.3;2762.0;3.5;1.24;1.68
16;48;0;3;43.0;0;0.6;1736.0;-212.0;16;9.8;16.5;3.6;7.9;37.2;37.2;25.6;1.51;33.0;2.2;51.2;15;3;1;-598.0;6;0.35;33.3;33.8;2309.0;3.4;1.29;1.53;3;57.0;28;1.16;1836.0;14.0;12;14.9;12.8;5.7;5.6;52.6;54.4;61.4;2.79;61.1;2.6;49.1;35;23;6;-140.0;17;0.56;59.2;33.2;2563.0;3.6;1.44;1.67
64;39;0;3;48.0;23;0.84;1845.0;-19.0;3;13.5;16.0;6.1;5.5;43.8;50.0;35.4;1.56;38.1;2.5;47.9;17;2;5;-154.0;22;0.71;57.5;33.1;2612.0;3.6;1.5;1.46;3;65.0;44;1.59;1957.0;238.0;7;16.4;10.3;7.6;3.3;58.5;60.0;61.5;2.71;61.3;2.4;58.5;36;19;6;696.0;10;0.74;72.3;35.0;2865.0;3.5;1.3;1.71
77;17;1;3;72.0;34;1.22;1903.0;96.0;17;16.2;13.2;6.6;4.8;44.4;59.7;50.0;2.39;53.8;1.9;40.3;26;20;7;497.0;26;0.63;62.3;34.0;2808.0;3.7;1.35;1.53;3;42.0;8;0.71;1769.0;-161.0;25;12.2;17.1;4.3;7.0;42.9;38.1;35.7;2.07;45.5;2.1;47.6;13;7;1;-851.0;11;0.36;27.0;33.4;2439.0;3.5;1.19;1.49
21;48;0;3;52.0;22;1.08;1836.0;25.0;22;14.2;13.2;5.6;5.7;46.2;42.3;50.0;2.31;50.8;1.7;57.7;18;14;5;194.0;9;0.52;49.3;33.9;2549.0;3.5;1.45;1.69;3;57.0;28;1.16;1836.0;14.0;12;14.9;12.8;5.7;5.6;52.6;54.4;61.4;2.79;61.1;2.6;49.1;35;23;6;-140.0;17;0.56;59.2;33.2;2563.0;3.6;1.44;1.67
5;65;1;3;46.0;11;0.83;1808.0;-87.0;3;13.3;16.1;5.2;6.2;54.3;39.1;47.8;2.24;51.1;2.7;43.5;8;21;5;-471.0;20;0.41;44.3;33.0;2639.0;3.4;1.34;1.46;3;47.0;10;0.86;1803.0;-100.0;10;12.3;14.3;4.5;6.7;68.1;42.6;48.9;1.98;42.8;1.6;55.3;5;22;1;-350.0;4;0.28;27.4;34.6;2433.0;3.5;1.31;1.49
16;65;0;3;43.0;0;0.6;1736.0;-212.0;16;9.8;16.5;3.6;7.9;37.2;37.2;25.6;1.51;33.0;2.2;51.2;15;3;1;-598.0;6;0.35;33.3;33.8;2309.0;3.4;1.29;1.53;3;47.0;10;0.86;1803.0;-100.0;10;12.3;14.3;4.5;6.7;68.1;42.6;48.9;1.98;42.8;1.6;55.3;5;22;1;-350.0;4;0.28;27.4;34.6;2433.0;3.5;1.31;1.49
48;77;0;3;57.0;28;1.16;1836.0;14.0;12;14.9;12.8;5.7;5.6;52.6;54.4;61.4;2.79;61.1;2.6;49.1;35;23;6;-140.0;17;0.56;59.2;33.2;2563.0;3.6;1.44;1.67;3;72.0;34;1.22;1903.0;96.0;17;16.2;13.2;6.6;4.8;44.4;59.7;50.0;2.39;53.8;1.9;40.3;26;20;7;497.0;26;0.63;62.3;34.0;2808.0;3.7;1.35;1.53
17;5;1;3;42.0;8;0.71;1769.0;-161.0;25;12.2;17.1;4.3;7.0;42.9;38.1;35.7;2.07;45.5;2.1;47.6;13;7;1;-851.0;11;0.36;27.0;33.4;2439.0;3.5;1.19;1.49;3;46.0;11;0.83;1808.0;-87.0;3;13.3;16.1;5.2;6.2;54.3;39.1;47.8;2.24;51.1;2.7;43.5;8;21;5;-471.0;20;0.41;44.3;33.0;2639.0;3.4;1.34;1.46
39;21;1;3;65.0;44;1.59;1957.0;238.0;7;16.4;10.3;7.6;3.3;58.5;60.0;61.5;2.71;61.3;2.4;58.5;36;19;6;696.0;10;0.74;72.3;35.0;2865.0;3.5;1.3;1.71;3;52.0;22;1.08;1836.0;25.0;22;14.2;13.2;5.6;5.7;46.2;42.3;50.0;2.31;50.8;1.7;57.7;18;14;5;194.0;9;0.52;49.3;33.9;2549.0;3.5;1.45;1.69
42;64;1;3;50.0;39;1.17;1885.0;74.0;13;16.2;13.7;6.3;4.7;50.0;70.0;70.0;2.62;57.1;2.3;48.0;29;13;6;628.0;24;0.52;54.2;34.3;2762.0;3.5;1.24;1.68;3;48.0;23;0.84;1845.0;-19.0;3;13.5;16.0;6.1;5.5;43.8;50.0;35.4;1.56;38.1;2.5;47.9;17;2;5;-154.0;22;0.71;57.5;33.1;2612.0;3.6;1.5;1.46
