teamA;teamB;winA
Misa Esports;Bushido Wildcats;0
Besiktas Esports;ULF Esports;1
BoostGate Esports;BBL Dark Passage;0
BoostGate Esports;Misa Esports;1
BBL Dark Passage;ULF Esports;0
Besiktas Esports;Papara SuperMassive;0
Eternal Fire;Bushido Wildcats;0
Misa Esports;Eternal Fire;1
Besiktas Esports;Bushido Wildcats;1
Papara SuperMassive;BBL Dark Passage;1
ULF Esports;BoostGate Esports;0
BoostGate Esports;Papara SuperMassive;0
Besiktas Esports;Eternal Fire;1
Misa Esports;ULF Esports;0
Bushido Wildcats;BBL Dark Passage;0
BoostGate Esports;Bushido Wildcats;1
Papara SuperMassive;ULF Esports;0
BBL Dark Passage;Eternal Fire;0
Misa Esports;Besiktas Esports;1
ULF Esports;Bushido Wildcats;1
Besiktas Esports;BBL Dark Passage;1
BoostGate Esports;Eternal Fire;1
Papara SuperMassive;Misa Esports;0
Papara SuperMassive;Bushido Wildcats;0
Eternal Fire;ULF Esports;0
Besiktas Esports;BoostGate Esports;0
Misa Esports;BBL Dark Passage;1
BoostGate Esports;BBL Dark Passage;1
Besiktas Esports;ULF Esports;0
Misa Esports;Bushido Wildcats;1
Eternal Fire;Papara SuperMassive;0
Misa Esports;BoostGate Esports;0
BoostGate Esports;ULF Esports;1
BBL Dark Passage;ULF Esports;0
BoostGate Esports;Misa Esports;0
Besiktas Esports;BBL Dark Passage;0
ULF Esports;Bushido Wildcats;1
Karmine Corp Blue;Galions;0
Gentle Mates;Karmine Corp Blue;1
Galions;Gentle Mates;1
Gentle Mates;Team BDS Academy;1
Karmine Corp Blue;Ici Japon Corp. Esport;1
Joblife;Solary;0
Galions;BK ROG Esports;1
Vitality.Bee;GameWard;1
Team BDS Academy;Solary;0
Ici Japon Corp. Esport;Joblife;0
Karmine Corp Blue;BK ROG Esports;0
Vitality.Bee;Gentle Mates;1
Galions;GameWard;0
Ici Japon Corp. Esport;Team BDS Academy;1
BK ROG Esports;Joblife;1
Galions;Karmine Corp Blue;1
Gentle Mates;GameWard;1
Vitality.Bee;Solary;1
BK ROG Esports;Team BDS Academy;1
Gentle Mates;Solary;1
Karmine Corp Blue;GameWard;1
Ici Japon Corp. Esport;Vitality.Bee;1
Galions;Joblife;0
BK ROG Esports;Vitality.Bee;0
Joblife;Karmine Corp Blue;1
Galions;Team BDS Academy;1
Ici Japon Corp. Esport;Gentle Mates;1
GameWard;Solary;0
BK ROG Esports;Gentle Mates;1
Galions;Vitality.Bee;0
Team BDS Academy;Karmine Corp Blue;0
Ici Japon Corp. Esport;Solary;1
GameWard;Joblife;1
Ici Japon Corp. Esport;GameWard;1
Karmine Corp Blue;Vitality.Bee;0
Galions;Gentle Mates;0
Team BDS Academy;Joblife;0
BK ROG Esports;Solary;0
Gentle Mates;Karmine Corp Blue;0
Galions;Solary;0
Vitality.Bee;Joblife;0
GameWard;Team BDS Academy;0
Ici Japon Corp. Esport;BK ROG Esports;0
Karmine Corp Blue;Solary;0
Joblife;Gentle Mates;1
Galions;Ici Japon Corp. Esport;1
Vitality.Bee;Team BDS Academy;1
BK ROG Esports;GameWard;1
BK ROG Esports;Galions;0
Ici Japon Corp. Esport;Vitality.Bee;1
Vitality.Bee;Solary;1
BK ROG Esports;Joblife;1
Ici Japon Corp. Esport;Gentle Mates;0
Galions;Karmine Corp Blue;0
Vitality.Bee;Karmine Corp Blue;0
Ici Japon Corp. Esport;Joblife;1
Gentle Mates;Solary;1
BK ROG Esports;Galions;0
BK ROG Esports;Karmine Corp Blue;1
BK ROG Esports;Gentle Mates;1
Vitality.Bee;BK ROG Esports;0
Gentle Mates;Karmine Corp Blue;0
Ici Japon Corp. Esport;BK ROG Esports;0
Vitality.Bee;Galions;1
Vitality.Bee;Solary;1
BK ROG Esports;GameWard;1
GameWard;Joblife;1
Solary;Team BDS Academy;1
UCAM Esports;Barça eSports;0
Ramboot Club;UCAM Esports;0
Barça eSports;Ramboot Club;1
LUA Gaming;Movistar KOI Fénix;0
ZETA;UCAM Esports;1
GIANTX Pride;Veni Vidi Vici;1
Los Heretics;Guasones;1
Barça eSports;Ramboot Club;0
Ramboot Club;Guasones;1
Movistar KOI Fénix;Barça eSports;0
UCAM Esports;LUA Gaming;0
GIANTX Pride;ZETA;1
Veni Vidi Vici;Los Heretics;0
GIANTX Pride;Los Heretics;1
Veni Vidi Vici;Ramboot Club;1
Guasones;Movistar KOI Fénix;0
Barça eSports;UCAM Esports;1
LUA Gaming;ZETA;1
Veni Vidi Vici;Movistar KOI Fénix;1
Los Heretics;Ramboot Club;1
GIANTX Pride;LUA Gaming;1
UCAM Esports;Guasones;1
Barça eSports;ZETA;1
GIANTX Pride;Ramboot Club;1
UCAM Esports;Veni Vidi Vici;1
Movistar KOI Fénix;Los Heretics;0
Barça eSports;LUA Gaming;1
ZETA;Guasones;1
ZETA;Veni Vidi Vici;0
UCAM Esports;Los Heretics;0
Ramboot Club;Movistar KOI Fénix;1
GIANTX Pride;Barça eSports;1
LUA Gaming;Guasones;1
Los Heretics;ZETA;0
Movistar KOI Fénix;GIANTX Pride;0
LUA Gaming;Veni Vidi Vici;0
UCAM Esports;Ramboot Club;1
Barça eSports;Guasones;1
LUA Gaming;Los Heretics;0
UCAM Esports;Movistar KOI Fénix;1
Barça eSports;Veni Vidi Vici;0
ZETA;Ramboot Club;0
GIANTX Pride;Guasones;1
UCAM Esports;GIANTX Pride;1
Los Heretics;Barça eSports;1
Movistar KOI Fénix;ZETA;1
Ramboot Club;LUA Gaming;1
Guasones;Veni Vidi Vici;0
Barça eSports;Veni Vidi Vici;1
UCAM Esports;LUA Gaming;0
Barça eSports;Movistar KOI Fénix;1
Ramboot Club;LUA Gaming;0
Veni Vidi Vici;Los Heretics;0
GIANTX Pride;UCAM Esports;1
Movistar KOI Fénix;Los Heretics;0
Barça eSports;UCAM Esports;0
Ramboot Club;Veni Vidi Vici;0
GIANTX Pride;LUA Gaming;1
GIANTX Pride;Barça eSports;0
Los Heretics;Barça eSports;0
Barça eSports;LUA Gaming;1
GIANTX Pride;Los Heretics;1
Eintracht Spandau;E WIE EINFACH E-SPORTS;1
ROSSMANN Centaurs;CGN Esports;1
