Name;Season;Region;Games;Win rate;K:D;GPM;GDM;Game duration;Kills / game;Deaths / game;Towers killed;Towers lost;FB%;FT%;FOS%;DRAPG;DRA%;VGPG;HER%;ATAKHAN%;DRA@15;TD@15;GD@15;PPG;NASHPG;NASH%;CSM;DPM;WPM;VWPM;WCPM
OK BRION;S15;KR;10;60.0%;1.35;1883;59;34:25;17.4;12.9;6.1;6.2;40.0;80.0;70.0;2.9;59.5;1.4;60.0;40.0;1.00;-0.1;-57;2.40;0.6;46.3;33.8;2881;3.5;1.34;1.68
PSG Talon;S15;TW;4;0.0%;0.49;1726;-246;35:10;7.8;15.8;4.5;8.8;50.0;50.0;50.0;2.0;34.2;1.8;75.0;25.0;0.25;0.3;33;2.25;0.75;41.7;33.3;2321;3.5;1.36;1.59
Shopify Rebellion;S15;;5;80.0%;1.23;1887;137;35:21;15.0;12.0;7.0;4.8;80.0;60.0;60.0;2.6;50.7;1.8;60.0;40.0;0.80;0.0;-181;2.80;0.8;75.0;34.1;2621;3.3;1.17;1.7
SK Gaming;S15;EUW;2;0.0%;0.6;1783;-266;35:07;12.0;20.0;3.5;8.5;50.0;50.0;50.0;2.5;58.3;0.5;50.0;50.0;1.00;-0.5;-631;2.00;0.0;0.0;34.1;2184;3.6;1.39;1.5
T1;S15;KR;16;75.0%;1.38;1980;182;29:27;17.4;12.5;7.3;3.7;68.8;68.8;75.0;2.75;65.2;1.4;81.3;75.0;1.31;-0.2;322;4.38;0.63;76.9;34.5;3086;3.6;1.36;1.37
Team BDS;S15;EUW;2;100.0%;1.67;2049;266;35:07;20.0;12.0;8.5;3.5;50.0;50.0;50.0;2.0;41.7;2.5;50.0;50.0;0.50;0.5;631;5.50;1.5;100.0;34.3;2558;3.5;1.14;1.91
Team Heretics;S15;EUW;3;33.3%;0.79;1805;-44;31:00;11.3;14.3;4.7;5.7;33.3;66.7;66.7;2.33;61.7;2.0;33.3;66.7;1.33;-0.7;-716;4.00;0.67;66.7;33.9;2059;3.3;1.13;1.66
Team Liquid;S15;;5;60.0%;1.13;1871;82;31:33;15.8;14.0;6.8;5.2;20.0;40.0;20.0;1.8;39.0;2.0;40.0;40.0;0.80;-0.2;-811;3.00;0.8;80.0;31.8;2785;3.3;1.26;1.46
Team Secret Whales;S15;VN;4;100.0%;1.94;1938;214;37:13;15.5;8.0;9.3;4.3;25.0;25.0;-;3.0;60.8;1.0;25.0;50.0;1.25;-0.3;-950;2.25;0.75;58.3;34.4;2296;4.2;1.5;1.5
Team WE;S15;CN;17;35.3%;0.83;1802;-63;31:34;13.2;15.9;4.9;6.2;47.1;47.1;58.8;2.24;54.0;1.6;47.1;-;-;-;-19;-;0.47;41.2;32.8;2604;3.5;1.36;1.62
Top Esports;S15;CN;15;66.7%;1.19;1911;112;33:45;17.5;14.7;6.7;4.7;60.0;53.3;46.7;2.4;52.8;1.5;46.7;-;-;-;505;-;0.73;63.3;33.4;2778;3.5;1.35;1.61
TT;S15;CN;9;44.4%;1.04;1837;4;31:44;13.0;12.6;5.6;6.2;55.6;33.3;55.6;2.78;56.9;1.3;55.6;-;-;-;-75;-;0.67;62.5;33.7;2211;3.7;1.44;1.63
Ultra Prime;S15;CN;14;35.7%;0.76;1774;-90;31:15;9.8;12.9;4.6;6.3;42.9;21.4;42.9;2.07;48.0;1.8;64.3;-;-;-;-670;-;0.29;30.3;33.9;2124;3.7;1.29;1.34
Weibo Gaming;S15;CN;16;43.8%;0.98;1825;-1;34:54;14.1;14.4;5.9;5.9;50.0;68.8;43.8;2.0;40.7;1.6;43.8;-;-;-;116;-;0.56;45.6;33.2;2757;3.6;1.35;1.66
