Player;Country;Games;Win rate;KDA;Avg kills;Avg deaths;Avg assists;CSM;GPM;KP%;DMG%;DPM;VSPM;Avg WPM;Avg WCPM;Avg VWPM;GD@15;CSD@15;XPD@15;FB %;FB Victim;Penta Kills;Solo Kills
Minui; US;35;57.1%;2.9;0.8;4.1;10.7;1.0;245;74.7%;7.9;217;3.16;1.55;0.35;0.28;68;1;148;28.6%;11.4%;0;-
Miracle2; CA;2;0%;4.4;0.5;4.0;17.0;0.9;243;85.5%;8.3;256;3.11;1.59;0.32;0.29;-452;2;174;0%;50%;0;-
Mireu; KR;28;46.4%;3.1;4.0;3.1;5.6;8.4;413;70.7%;28.7;756;0.96;0.28;0.24;0.14;289;9;201;14.3%;10.7%;0;9
Mishi; SE;11;9.1%;2.2;4.6;3.9;4.1;9.1;430;77.4%;29.5;765;1.18;0.39;0.36;0.18;-48;-6;-180;18.2%;9.1%;0;1
Missing; CN;57;61.4%;2.7;0.8;4.4;11.0;1.0;251;71.7%;7.9;204;3.63;2.08;0.38;0.58;-50;-;-;-;-;-;-
Mission; TW;10;20%;1.5;2.7;5.8;5.8;8.1;382;61.6%;22.6;620;0.84;0.28;0.19;0.11;-630;-11;-456;10%;30%;0;2
Mita; CZ;17;29.4%;2.8;1.3;4.8;11.8;0.8;242;70.5%;7.6;208;3.33;1.48;0.42;0.41;112;-3;-35;47.1%;5.9%;0;-
Mitir; CO;2;0%;0.8;1.5;6.0;3.0;4.8;291;75.7%;18.7;411;0.97;0.22;0.24;0.13;-1218;-18;-1114;50%;0%;0;-
Mobility; US;33;42.4%;4.6;4.1;2.1;5.6;9.4;429;68.7%;27.4;678;1.03;0.38;0.25;0.09;-194;-4;-12;33.3%;3%;0;3
Moham; KR;19;26.3%;2.1;0.4;4.4;9.0;1.1;235;88.1%;8.8;185;3.7;1.92;0.48;0.53;28;-;-;-;-;-;-
Momo; JP;24;66.7%;3.2;4.3;3.8;7.7;7.4;398;51.2%;22.4;722;0.88;0.31;0.15;0.11;-135;-4;-174;33.3%;16.7%;0;15
Monki; CN;75;45.3%;3.1;3.6;3.9;8.4;6.9;381;79%;17.7;470;1.46;0.28;0.34;0.23;-87;-;-;-;-;-;-
Mood; HU;10;20%;1.9;1.5;5.4;8.9;1.0;255;63.5%;9.9;271;2.64;1.2;0.26;0.27;97;1;331;10%;20%;0;1
Morgan; KR;47;36.2%;2.4;2.3;2.9;4.6;8.1;377;55.2%;23.6;570;1.05;0.36;0.21;0.21;-239;-6;-137;14.9%;6.4%;0;4
Morttheus; BR;27;51.9%;4.8;4.2;2.0;5.5;9.5;439;71%;28.0;683;1.35;0.41;0.42;0.11;34;2;-38;14.8%;11.1%;0;2
MrFreezed; EE;13;46.2%;2.5;4.8;4.7;7.1;7.9;411;59.3%;22.6;688;0.62;0.23;0.14;0.03;439;5;-103;46.2%;15.4%;0;5
MrHB; NL;9;55.6%;3.5;4.2;2.6;4.8;8.5;420;55.1%;22.1;665;0.7;0.28;0.21;0.02;91;0;-30;11.1%;11.1%;0;2
MrJackson; DE;9;22.2%;3.2;5.7;4.1;7.3;6.4;398;78.6%;21.3;608;1.06;0.21;0.25;0.22;-192;-3;-118;33.3%;11.1%;0;3
MrPhant0m; GR;4;0%;1.8;3.5;5.0;5.5;9.1;398;64.5%;25.7;709;1.02;0.32;0.3;0.09;-381;-0;-315;0%;0%;0;1
Mrozku; PL;39;61.5%;4.0;4.3;2.6;6.2;8.2;412;56.5%;21.0;599;0.81;0.3;0.15;0.12;-18;-3;-127;7.7%;2.6%;0;12
Mun; MX;9;33.3%;2.5;0.6;4.3;10.4;1.0;236;75.5%;7.0;190;3.34;1.78;0.39;0.49;117;3;-62;55.6%;33.3%;0;-
