Player;Country;Games;Win rate;KDA;Avg kills;Avg deaths;Avg assists;CSM;GPM;KP%;DMG%;DPM;VSPM;Avg WPM;Avg WCPM;Avg VWPM;GD@15;CSD@15;XPD@15;FB %;FB Victim;Penta Kills;Solo Kills
Sponge; KR;12;50%;4.1;2.6;3.3;10.7;6.2;360;88.8%;15.6;434;1.68;0.34;0.45;0.32;210;4;215;58.3%;0%;0;-
Srtty; AU;3;66.7%;3.2;4.3;3.7;7.3;7.1;419;70.2%;26.0;681;1.1;0.48;0.17;0.26;633;5;-14;33.3%;0%;0;-
Stend; FR;3;33.3%;5.2;0.3;2.0;10.0;1.3;256;91.6%;8.0;168;3.79;1.82;0.5;0.47;-61;11;203;33.3%;0%;0;-
Sty1e; VN;4;100%;10.7;6.5;1.5;9.5;9.3;483;79.1%;30.0;980;1.16;0.42;0.3;0.1;249;12;836;50%;25%;0;-
Supa; ES;6;50%;2.2;3.2;3.2;3.7;9.4;429;40.2%;23.7;565;0.94;0.31;0.32;0.06;457;8;216;0%;16.7%;0;-
Taeyoon; KR;17;35.3%;3.3;4.4;2.9;5.2;9.0;431;66.4%;28.8;746;1.45;0.46;0.45;0.19;119;-;-;-;-;-;-
Taki; VN;4;100%;6.3;1.0;1.8;10.0;1.0;254;72%;8.3;191;4.13;2.49;0.5;0.6;-138;-4;-105;0%;0%;0;-
Targamas; BE;5;80%;5.3;0.4;2.4;12.4;1.3;257;77.3%;6.5;175;3.82;1.68;0.59;0.43;89;2;-29;40%;40%;0;-
Tarzan; KR;21;57.1%;4.5;3.5;2.7;8.7;6.9;379;81.2%;18.4;508;1.68;0.36;0.36;0.32;201;7;443;9.5%;9.5%;0;-
Tatu; BR;3;33.3%;3.6;3.3;2.7;6.3;6.5;358;64.3%;15.3;430;1.4;0.36;0.31;0.31;84;-6;-314;0%;0%;0;1
Teddy; KR;12;50%;5.6;5.4;2.3;7.6;9.1;454;83.6%;28.0;773;1.26;0.45;0.35;0.12;-74;-4;-242;41.7%;0%;0;-
Thanatos; KR;6;66.7%;3.9;3.8;2.5;5.8;8.6;424;61.2%;22.9;697;0.84;0.27;0.19;0.13;408;17;329;33.3%;0%;0;2
Thayger; ES;2;0%;2.0;1.5;2.5;3.5;6.1;319;100%;16.1;314;1.16;0.24;0.3;0.2;-258;-6;-428;50%;0%;0;-
TheShy; KR;11;63.6%;3.4;3.6;3.6;8.7;7.5;386;61.4%;25.2;804;0.91;0.33;0.13;0.11;259;-;-;-;-;-;-
Tian; CN;16;43.8%;3.0;3.8;3.6;6.9;7.0;380;76.9%;16.4;450;1.65;0.33;0.43;0.27;39;-;-;-;-;-;-
Tomo; US;4;0%;1.9;2.8;3.8;4.5;9.2;401;67.6%;24.9;545;1.07;0.36;0.31;0.12;-308;-12;-180;25%;25%;0;-
Trigger; KR;4;0%;0.8;1.5;4.5;2.3;8.6;372;47.2%;26.5;627;1.08;0.32;0.31;0.09;-1365;-17;-516;25%;0%;0;-
Tutsz; BR;3;33.3%;2.7;3.7;3.7;6.3;8.4;407;67.4%;28.9;769;0.86;0.31;0.2;0.27;-359;-11;-218;33.3%;0%;0;1
Upset; DE;3;66.7%;6.6;5.7;1.7;5.3;9.4;479;76.3%;22.7;589;1.09;0.47;0.26;0.11;29;-3;284;33.3%;0%;0;-
Vampire; CN;17;35.3%;2.9;0.9;3.9;10.4;1.0;250;88.2%;8.2;220;3.73;1.97;0.41;0.61;82;-;-;-;-;-;-
Vicla; KR;9;55.6%;4.9;3.9;2.7;9.1;8.0;392;75.8%;25.0;718;0.99;0.46;0.24;0.21;-351;-7;-270;22.2%;11.1%;0;1
Viper; KR;13;53.8%;5.1;5.5;2.3;6.2;9.5;458;64.7%;30.2;860;1.25;0.45;0.37;0.11;310;5;296;7.7%;0%;1;3
Vladi; GR;5;80%;5.3;2.6;1.8;7.0;9.1;418;60.1%;27.1;671;1.08;0.46;0.21;0.19;-192;5;57;0%;0%;0;-
Vulcan; CA;6;66.7%;5.3;0.2;2.5;13.2;1.1;263;78.8%;6.8;210;3.72;1.79;0.44;0.41;-82;2;90;33.3%;0%;0;1
Wei; CN;11;63.6%;3.8;3.9;3.7;10.3;5.9;378;70%;14.4;463;1.76;0.39;0.44;0.35;-74;-;-;-;-;-;-
Whynot; NZ;6;33.3%;2.2;1.0;3.5;6.7;5.7;324;69.9%;13.9;306;1.46;0.3;0.3;0.23;-107;-6;10;33.3%;0%;0;1
Wink; CN;11;36.4%;2.1;0.2;3.9;7.9;1.0;231;78.2%;6.3;147;3.49;1.99;0.3;0.6;-165;-;-;-;-;-;-
Woody; TW;4;0%;2.8;0.3;2.3;6.0;1.0;230;78.3%;5.8;135;3.58;1.93;0.41;0.59;-41;-1;-12;50%;0%;0;-
XUN; CN;11;36.4%;2.9;2.8;2.7;5.1;6.4;349;75.1%;15.4;361;1.35;0.31;0.28;0.26;-31;-;-;-;-;-;-
Xiaohao; CN;10;100%;20.7;5.2;0.7;9.3;7.4;427;77.6%;16.3;425;1.71;0.36;0.44;0.29;277;-;-;-;-;-;-
Xiaoxia; CN;14;35.7%;2.5;0.3;3.2;7.6;0.9;230;75.4%;6.2;132;3.33;2.02;0.3;0.5;-177;-;-;-;-;-;-
Xiaoxu; CN;11;36.4%;2.0;2.1;3.3;4.5;7.9;373;60.3%;19.3;460;1.01;0.46;0.13;0.15;528;-;-;-;-;-;-
Yayo; VE;2;0%;0.3;0.0;6.0;1.5;6.3;277;28.3%;18.6;351;0.53;0.19;0.12;0.02;-1446;-38;-1131;0%;0%;0;-
Ycx; CN;13;53.8%;2.8;0.6;3.8;10.2;1.2;248;79%;6.9;163;3.75;1.74;0.52;0.51;-56;-;-;-;-;-;-
Yeon; US;5;60%;5.6;7.2;2.2;5.2;9.2;476;71.8%;34.2;974;1.19;0.4;0.31;0.17;-132;4;422;20%;40%;0;-
Yike; SE;5;80%;4.7;5.0;2.8;8.2;6.3;398;74.5%;16.4;435;1.48;0.29;0.34;0.26;-23;1;94;20%;20%;0;1
