Name;Season;Region;Games;Win rate;K:D;GPM;GDM;Game duration;Kills / game;Deaths / game;Towers killed;Towers lost;FB%;FT%;FOS%;DRAPG;DRA%;VGPG;HER%;ATAKHAN%;DRA@15;TD@15;GD@15;PPG;NASHPG;NASH%;CSM;DPM;WPM;VWPM;WCPM
Nongshim RedForce;S15;KR;48;50.0%;0.84;1845;-19;31:05;13.5;16.0;6.1;5.5;43.8;50.0;35.4;1.56;38.1;2.5;47.9;45.8;0.40;0.0;-154;3.77;0.71;57.5;33.1;2612;3.6;1.5;1.46
OK BRION;S15;KR;47;36.2%;0.86;1803;-100;31:57;12.3;14.3;4.5;6.7;68.1;42.6;48.9;1.98;42.8;1.6;55.3;25.5;1.00;-0.1;-350;2.47;0.28;27.4;34.6;2433;3.5;1.31;1.49
OMG;S15;CN;19;26.3%;0.6;1749;-218;31:49;10.4;17.4;3.6;7.7;36.8;36.8;21.1;1.68;37.8;3.1;42.1;-;-;-;-1282;-;0.37;35.2;34.1;2211;3.4;1.27;1.5
PSG Talon;S15;TW;31;58.1%;1.13;1832;51;33:13;12.8;11.4;7.0;5.5;38.7;51.6;38.7;2.52;57.7;1.5;45.2;58.1;0.90;0.0;-90;2.32;0.74;60.9;33.3;2579;3.3;1.19;1.57
Rogue;S15;EUW;20;25.0%;0.79;1719;-176;34:23;12.3;15.6;4.9;7.9;50.0;45.0;50.0;2.45;49.4;2.4;45.0;25.0;1.00;-0.1;-415;3.65;0.55;36.3;31.6;2432;3.5;1.21;1.24
Royal Never Give Up;S15;CN;20;30.0%;0.72;1756;-158;33:19;12.2;16.9;4.1;7.3;30.0;40.0;35.0;1.95;40.9;2.1;25.0;-;-;-;-628;-;0.25;20.6;33.8;2364;3.5;1.34;1.62
Shopify Rebellion;S15;;31;38.7%;0.78;1743;-117;36:53;12.5;16.0;5.0;7.3;41.9;35.5;48.4;2.39;45.2;2.2;54.8;51.6;0.58;-0.1;-409;2.94;0.55;38.1;32.1;2518;3.2;1.13;1.4
SK Gaming;S15;EUW;19;26.3%;0.52;1702;-260;32:27;10.4;19.9;4.1;8.4;31.6;15.8;26.3;1.84;37.6;2.3;26.3;42.1;0.68;-0.4;-1240;3.58;0.32;23.5;32.2;2328;3.1;1.17;1.37
T1;S15;KR;72;61.1%;1.22;1903;96;32:35;16.2;13.2;6.6;4.8;44.4;59.7;50.0;2.39;53.8;1.9;40.3;55.6;0.96;0.2;497;4.10;0.63;62.3;34.0;2808;3.7;1.35;1.53
Team BDS;S15;EUW;21;38.1%;0.98;1786;-68;35:09;14.4;14.7;6.0;6.8;71.4;57.1;71.4;2.33;44.2;2.8;57.1;47.6;1.00;0.2;330;3.24;0.67;50.0;32.4;2602;3.4;1.33;1.47
Team Heretics;S15;EUW;25;44.0%;0.81;1768;-126;33:46;11.8;14.5;5.0;7.6;48.0;40.0;36.0;2.32;44.6;2.4;44.0;28.0;0.96;-0.1;-483;3.20;0.36;26.1;33.9;2486;3.3;1.21;1.57
Team Liquid;S15;;26;53.8%;1.21;1825;50;33:32;13.2;10.9;6.8;5.4;65.4;69.2;61.5;2.42;51.8;2.4;61.5;57.7;1.00;0.3;607;3.08;0.69;56.3;33.1;2452;3.3;1.28;1.47
Team Secret Whales;S15;VN;23;56.5%;1.32;1848;86;30:12;14.4;10.8;5.2;5.0;43.5;47.8;73.9;2.65;65.7;2.6;65.2;60.9;1.26;0.1;921;3.17;0.3;46.7;34.3;2514;3.5;1.28;1.44
Team Vitality;S15;EUW;21;42.9%;0.89;1805;-51;33:24;14.8;16.5;5.8;6.8;52.4;52.4;33.3;2.0;41.3;3.1;38.1;57.1;0.71;0.0;-102;4.19;0.48;42.5;32.4;2581;3.5;1.42;1.42
Team WE;S15;CN;75;45.3%;0.91;1840;-51;32:22;15.0;16.5;5.4;6.4;61.3;53.3;48.0;2.27;50.7;2.1;41.3;-;-;-;-204;-;0.55;49.5;33.3;2646;3.3;1.31;1.58
Top Esports;S15;CN;64;65.6%;1.09;1926;121;31:52;16.4;15.0;6.9;4.6;51.6;56.3;48.4;2.25;53.7;2.6;43.8;-;-;-;586;-;0.66;66.3;34.3;2888;3.5;1.33;1.52
TT;S15;CN;52;28.8%;0.62;1764;-173;30:34;11.1;17.7;4.2;7.3;42.3;34.6;34.6;1.46;33.3;2.9;56.9;-;-;-;-908;-;0.23;28.5;33.1;2474;3.4;1.38;1.45
Ultra Prime;S15;CN;28;42.9%;0.96;1779;-47;33:01;12.6;13.1;5.1;5.9;60.7;39.3;39.3;2.18;48.6;2.4;57.1;-;-;-;-160;-;0.61;52.0;33.3;2364;3.7;1.47;1.4
Weibo Gaming;S15;CN;67;46.3%;1.02;1823;-16;32:39;14.1;13.8;5.5;6.1;53.7;46.3;41.8;2.34;49.7;2.3;52.2;-;-;-;92;-;0.48;46.9;33.4;2474;3.4;1.29;1.55
