tournament;match_id;game_in_series;teamA;teamB;win;date
LPL 2025 Split 2;25;1;LGD Gaming;Ultra Prime;1;2025-05-11
LPL 2025 Split 2;25;2;LGD Gaming;Ultra Prime;0;2025-05-11
LPL 2025 Split 2;25;3;LGD Gaming;Ultra Prime;1;2025-05-11
LPL 2025 Split 2;26;1;Bilibili Gaming;Team WE;1;2025-05-10
LPL 2025 Split 2;26;2;Bilibili Gaming;Team WE;1;2025-05-10
LPL 2025 Split 2;27;1;Anyone s Legend;Weibo Gaming;1;2025-05-10
LPL 2025 Split 2;27;2;Anyone s Legend;Weibo Gaming;1;2025-05-10
LPL 2025 Split 2;28;1;Edward Gaming;Royal Never Give Up;1;2025-05-10
LPL 2025 Split 2;28;2;Edward Gaming;Royal Never Give Up;0;2025-05-10
LPL 2025 Split 2;28;3;Edward Gaming;Royal Never Give Up;1;2025-05-10
LPL 2025 Split 2;29;1;Invictus Gaming;Team WE;1;2025-05-09
LPL 2025 Split 2;29;2;Invictus Gaming;Team WE;1;2025-05-09
LPL 2025 Split 2;30;1;Funplus Phoenix;Anyone s Legend;1;2025-05-09
LPL 2025 Split 2;30;2;Funplus Phoenix;Anyone s Legend;0;2025-05-09
LPL 2025 Split 2;30;3;Funplus Phoenix;Anyone s Legend;1;2025-05-09
LPL 2025 Split 2;31;1;Top Esports;Ninjas in Pyjamas;1;2025-05-08
LPL 2025 Split 2;31;2;Top Esports;Ninjas in Pyjamas;0;2025-05-08
LPL 2025 Split 2;31;3;Top Esports;Ninjas in Pyjamas;1;2025-05-08
LPL 2025 Split 2;32;1;Funplus Phoenix;TT;1;2025-05-08
LPL 2025 Split 2;32;2;Funplus Phoenix;TT;1;2025-05-08
LPL 2025 Split 2;33;1;Bilibili Gaming;Anyone s Legend;1;2025-05-07
LPL 2025 Split 2;33;2;Bilibili Gaming;Anyone s Legend;1;2025-05-07
LPL 2025 Split 2;34;1;Ninjas in Pyjamas;Weibo Gaming;1;2025-05-07
LPL 2025 Split 2;34;2;Ninjas in Pyjamas;Weibo Gaming;1;2025-05-07
LPL 2025 Split 2;35;1;TT;Invictus Gaming;1;2025-05-06
LPL 2025 Split 2;35;2;TT;Invictus Gaming;0;2025-05-06
LPL 2025 Split 2;36;1;Team WE;JD Gaming;1;2025-05-06
LPL 2025 Split 2;36;2;Team WE;JD Gaming;0;2025-05-06
LPL 2025 Split 2;37;1;Bilibili Gaming;TT;1;2025-05-05
LPL 2025 Split 2;37;2;Bilibili Gaming;TT;1;2025-05-05
LPL 2025 Split 2;38;1;Funplus Phoenix;Team WE;0;2025-05-05
LPL 2025 Split 2;39;1;Anyone s Legend;Top Esports;1;2025-05-04
LPL 2025 Split 2;39;2;Anyone s Legend;Top Esports;1;2025-05-04
LPL 2025 Split 2;40;1;OMG;Ultra Prime;1;2025-05-04
LPL 2025 Split 2;40;2;OMG;Ultra Prime;1;2025-05-04
LPL 2025 Split 2;41;1;Invictus Gaming;Top Esports;1;2025-05-03
LPL 2025 Split 2;41;2;Invictus Gaming;Top Esports;0;2025-05-03
LPL 2025 Split 2;41;3;Invictus Gaming;Top Esports;0;2025-05-03
LPL 2025 Split 2;42;1;Bilibili Gaming;Funplus Phoenix;1;2025-05-03
LPL 2025 Split 2;42;2;Bilibili Gaming;Funplus Phoenix;0;2025-05-03
LPL 2025 Split 2;42;3;Bilibili Gaming;Funplus Phoenix;1;2025-05-03
LPL 2025 Split 2;43;1;Ninjas in Pyjamas;Team WE;0;2025-05-03
LPL 2025 Split 2;44;1;Bilibili Gaming;Weibo Gaming;1;2025-05-02
LPL 2025 Split 2;44;2;Bilibili Gaming;Weibo Gaming;1;2025-05-02
LPL 2025 Split 2;45;1;Royal Never Give Up;OMG;1;2025-05-02
LPL 2025 Split 2;45;2;Royal Never Give Up;OMG;0;2025-05-02
LPL 2025 Split 2;45;3;Royal Never Give Up;OMG;1;2025-05-02
LPL 2025 Split 2;46;1;Invictus Gaming;Anyone s Legend;0;2025-05-01
LPL 2025 Split 2;47;1;Top Esports;Funplus Phoenix;1;2025-05-01
LPL 2025 Split 2;47;2;Top Esports;Funplus Phoenix;1;2025-05-01
LPL 2025 Split 2;48;1;Weibo Gaming;Invictus Gaming;1;2025-04-30
LPL 2025 Split 2;48;2;Weibo Gaming;Invictus Gaming;0;2025-04-30
LPL 2025 Split 2;48;3;Weibo Gaming;Invictus Gaming;1;2025-04-30
LPL 2025 Split 2;49;1;JD Gaming;TT;1;2025-04-30
LPL 2025 Split 2;49;2;JD Gaming;TT;1;2025-04-30
LPL 2025 Split 2;50;1;Weibo Gaming;Bilibili Gaming;1;2025-04-29
LPL 2025 Split 2;50;2;Weibo Gaming;Bilibili Gaming;0;2025-04-29
LPL 2025 Split 2;50;3;Weibo Gaming;Bilibili Gaming;1;2025-04-29
LPL 2025 Split 2;51;1;LGD Gaming;Edward Gaming;1;2025-04-29
LPL 2025 Split 2;51;2;LGD Gaming;Edward Gaming;0;2025-04-29
LPL 2025 Split 2;52;1;Bilibili Gaming;Funplus Phoenix;1;2025-04-28
LPL 2025 Split 2;52;2;Bilibili Gaming;Funplus Phoenix;0;2025-04-28
LPL 2025 Split 2;53;1;LNG Esports;Royal Never Give Up;1;2025-04-28
LPL 2025 Split 2;53;2;LNG Esports;Royal Never Give Up;1;2025-04-28
LPL 2025 Split 2;54;1;Top Esports;JD Gaming;1;2025-04-27
LPL 2025 Split 2;54;2;Top Esports;JD Gaming;1;2025-04-27
LPL 2025 Split 2;55;1;Weibo Gaming;Invictus Gaming;1;2025-04-27
LPL 2025 Split 2;55;2;Weibo Gaming;Invictus Gaming;1;2025-04-27
LPL 2025 Split 2;56;1;Ninjas in Pyjamas;Anyone s Legend;0;2025-04-27
LPL 2025 Split 2;57;1;TT;JD Gaming;1;2025-04-26
LPL 2025 Split 2;57;2;TT;JD Gaming;0;2025-04-26
LPL 2025 Split 2;58;1;Ultra Prime;Edward Gaming;1;2025-04-26
LPL 2025 Split 2;58;2;Ultra Prime;Edward Gaming;0;2025-04-26
LPL 2025 Split 2;58;3;Ultra Prime;Edward Gaming;1;2025-04-26
LPL 2025 Split 2;59;1;Ninjas in Pyjamas;Bilibili Gaming;0;2025-04-25
LPL 2025 Split 2;60;1;Team WE;Funplus Phoenix;1;2025-04-25
LPL 2025 Split 2;60;2;Team WE;Funplus Phoenix;0;2025-04-25
LPL 2025 Split 2;60;3;Team WE;Funplus Phoenix;1;2025-04-25
LPL 2025 Split 2;61;1;Anyone s Legend;JD Gaming;0;2025-04-24
LPL 2025 Split 2;62;1;Weibo Gaming;Team WE;1;2025-04-24
LPL 2025 Split 2;62;2;Weibo Gaming;Team WE;0;2025-04-24
LPL 2025 Split 2;63;1;Top Esports;Ninjas in Pyjamas;1;2025-04-23
LPL 2025 Split 2;63;2;Top Esports;Ninjas in Pyjamas;0;2025-04-23
LPL 2025 Split 2;63;3;Top Esports;Ninjas in Pyjamas;1;2025-04-23
LPL 2025 Split 2;64;1;OMG;LNG Esports;0;2025-04-23
LPL 2025 Split 2;65;1;TT;Team WE;0;2025-04-22
LPL 2025 Split 2;66;1;Royal Never Give Up;LGD Gaming;0;2025-04-22
LPL 2025 Split 2;67;1;Team WE;Invictus Gaming;0;2025-04-21
LPL 2025 Split 2;68;1;JD Gaming;Weibo Gaming;1;2025-04-21
LPL 2025 Split 2;68;2;JD Gaming;Weibo Gaming;0;2025-04-21
LPL 2025 Split 2;69;1;Funplus Phoenix;Ninjas in Pyjamas;1;2025-04-20
LPL 2025 Split 2;69;2;Funplus Phoenix;Ninjas in Pyjamas;1;2025-04-20
LPL 2025 Split 2;70;1;Bilibili Gaming;Top Esports;1;2025-04-20
LPL 2025 Split 2;70;2;Bilibili Gaming;Top Esports;0;2025-04-20
LPL 2025 Split 2;70;3;Bilibili Gaming;Top Esports;0;2025-04-20
LPL 2025 Split 2;71;1;LNG Esports;Ultra Prime;1;2025-04-20
LPL 2025 Split 2;71;2;LNG Esports;Ultra Prime;1;2025-04-20
LPL 2025 Split 2;72;1;Anyone s Legend;Team WE;1;2025-04-19
LPL 2025 Split 2;72;2;Anyone s Legend;Team WE;0;2025-04-19
LPL 2025 Split 2;72;3;Anyone s Legend;Team WE;1;2025-04-19
LPL 2025 Split 2;73;1;Edward Gaming;OMG;1;2025-04-19
LPL 2025 Split 2;73;2;Edward Gaming;OMG;1;2025-04-19
LPL 2025 Split 2;74;1;Invictus Gaming;JD Gaming;1;2025-04-18
LPL 2025 Split 2;74;2;Invictus Gaming;JD Gaming;0;2025-04-18
LPL 2025 Split 2;74;3;Invictus Gaming;JD Gaming;1;2025-04-18
LPL 2025 Split 2;75;1;TT;Ninjas in Pyjamas;1;2025-04-18
