tournament;date;Team;GP;AGT;KD;CKPM;GPR;GSPD;EGR;MLR;GD15;FB%;FT%;F3T%;PPG;HLD%;GRB%;FD%;DRG%;ELD%;FBN%;BN%;LNE%;JNG%;WPM;CWPM;WCPM;winrate%
Esports World Cup 2025;2025-07-19;T1;5;29.2;0.74;1.06;-0.33;-0.003;41.3;-1.3;-1498;0.6;0.4;0.4;4.0;0.4;0.4;0.8;0.57;;0.6;0.75;0.507;0.508;3.66;1.42;1.4;0.4
Esports World Cup 2025;2025-07-20;Anyone's Legend;10;31.8;1.35;0.87;0.17;0.033;52.9;7.1;523;0.3;0.7;0.6;1.6;0.7;0.53;0.4;0.45;;0.4;0.55;0.496;0.519;3.8;1.5;1.52;0.6
Esports World Cup 2025;2025-07-20;Bilibili Gaming;3;32.5;0.58;0.84;-0.7;-0.009000000000000001;38.4;-5.1;-716;0.33;0.33;0.33;3.3;0.67;0.56;0.67;0.47;;0.33;0.5;0.498;0.484;3.31;1.21;1.53;0.3333333333333333
Esports World Cup 2025;2025-07-20;Cloud9;2;36.7;0.25;0.75;-1.82;-0.10800000000000001;35.2;-35.2;-1677;0.5;0.0;0.0;2.0;0.0;0.5;1.0;0.5;0.0;0.0;0.0;0.517;0.475;3.12;1.02;1.56;0.0
Esports World Cup 2025;2025-07-20;CTBC Flying Oyster;3;31.3;1.05;0.96;0.29;-0.027000000000000003;76.3;-42.9;1056;0.67;0.33;0.33;4.0;0.67;0.11;1.0;0.69;;0.33;0.33;0.49200000000000005;0.494;4.02;1.56;1.38;0.3333333333333333
Esports World Cup 2025;2025-07-20;FlyQuest;5;33.0;0.93;0.88;-0.07;-0.006;43.1;-3.1;-206;0.4;0.4;0.4;3.8;0.4;0.2;0.4;0.38;1.0;0.2;0.4;0.49200000000000005;0.499;3.41;1.01;1.3;0.4
Esports World Cup 2025;2025-07-20;FURIA;3;31.9;0.85;0.93;-0.91;-0.025;38.5;-5.1;-677;0.67;0.67;0.33;2.7;0.67;0.56;0.33;0.36;;0.33;1.0;0.48100000000000004;0.469;3.53;1.43;1.34;0.3333333333333333
Esports World Cup 2025;2025-07-20;G2 Esports;10;31.0;1.14;0.87;0.28;-0.02;48.2;1.8;-308;0.4;0.4;0.4;4.3;0.4;0.47;0.4;0.53;;0.4;0.5;0.49200000000000005;0.508;3.24;1.17;1.63;0.5
Esports World Cup 2025;2025-07-20;GAM Esports;2;29.2;0.37;0.89;-1.02;-0.057;35.1;-35.1;-669;1.0;0.0;0.5;1.5;0.0;0.67;0.0;0.22;;0.0;0.0;0.49;0.47200000000000003;3.36;1.28;1.38;0.0
Esports World Cup 2025;2025-07-20;Gen.G;10;31.7;1.4;0.86;0.99;0.055999999999999994;67.8;2.2;1216;0.7;0.7;0.8;4.2;0.5;0.63;0.6;0.65;;0.6;0.5;0.516;0.508;3.64;1.25;1.69;0.7
Esports World Cup 2025;2025-07-20;Hanwha Life Esports;5;30.2;0.92;0.98;-0.08;-0.02;51.0;9.0;107;0.6;0.6;0.6;3.2;0.2;0.27;0.6;0.48;;0.6;0.75;0.49700000000000005;0.47700000000000004;3.56;1.27;1.72;0.6
Esports World Cup 2025;2025-07-20;Movistar KOI;6;30.3;0.82;0.98;-0.78;-0.059000000000000004;34.7;15.3;-612;0.17;0.5;0.33;4.7;0.67;0.78;0.33;0.42;;0.33;0.4;0.503;0.484;3.35;1.09;1.82;0.5
Esports World Cup 2025;2025-07-20;T1;7;28.7;1.04;1.06;0.17;0.044000000000000004;47.5;9.7;-634;0.71;0.43;0.57;4.1;0.57;0.52;0.57;0.55;;0.71;0.83;0.51;0.52;3.58;1.36;1.34;0.5714285714285714
