tournament;match_id;game_in_series;teamA;teamB;win;date
LCK Cup 2025;1;1;Hanwha Life eSports;Gen.G eSports;1;2025-02-23
LCK Cup 2025;1;2;Hanwha Life eSports;Gen.G eSports;0;2025-02-23
LCK Cup 2025;1;3;Hanwha Life eSports;Gen.G eSports;1;2025-02-23
LCK Cup 2025;1;4;Hanwha Life eSports;Gen.G eSports;0;2025-02-23
LCK Cup 2025;1;5;Hanwha Life eSports;Gen.G eSports;1;2025-02-23
LCK Cup 2025;2;1;Dplus KIA;Gen.G eSports;0;2025-02-22
LCK Cup 2025;3;1;Nongshim RedForce;Gen.G eSports;1;2025-02-20
LCK Cup 2025;3;2;Nongshim RedForce;Gen.G eSports;1;2025-02-20
LCK Cup 2025;3;3;Nongshim RedForce;Gen.G eSports;0;2025-02-20
LCK Cup 2025;4;1;Hanwha Life eSports;Dplus KIA;1;2025-02-19
LCK Cup 2025;4;2;Hanwha Life eSports;Dplus KIA;0;2025-02-19
LCK Cup 2025;4;3;Hanwha Life eSports;Dplus KIA;0;2025-02-19
LCK Cup 2025;4;4;Hanwha Life eSports;Dplus KIA;1;2025-02-19
LCK Cup 2025;4;5;Hanwha Life eSports;Dplus KIA;1;2025-02-19
LCK Cup 2025;5;1;Gen.G eSports;Hanwha Life eSports;1;2025-02-16
LCK Cup 2025;5;2;Gen.G eSports;Hanwha Life eSports;0;2025-02-16
LCK Cup 2025;5;3;Gen.G eSports;Hanwha Life eSports;1;2025-02-16
LCK Cup 2025;5;4;Gen.G eSports;Hanwha Life eSports;0;2025-02-16
LCK Cup 2025;6;1;Dplus KIA;Nongshim RedForce;1;2025-02-15
LCK Cup 2025;6;2;Dplus KIA;Nongshim RedForce;1;2025-02-15
LCK Cup 2025;6;3;Dplus KIA;Nongshim RedForce;0;2025-02-15
LCK Cup 2025;6;4;Dplus KIA;Nongshim RedForce;1;2025-02-15
LCK Cup 2025;7;1;Hanwha Life eSports;T1;1;2025-02-13
LCK Cup 2025;7;2;Hanwha Life eSports;T1;0;2025-02-13
LCK Cup 2025;7;3;Hanwha Life eSports;T1;1;2025-02-13
LCK Cup 2025;7;4;Hanwha Life eSports;T1;0;2025-02-13
LCK Cup 2025;7;5;Hanwha Life eSports;T1;1;2025-02-13
LCK Cup 2025;8;1;KT Rolster;Nongshim RedForce;0;2025-02-12
LCK Cup 2025;9;1;DRX;Nongshim RedForce;1;2025-02-09
LCK Cup 2025;9;2;DRX;Nongshim RedForce;0;2025-02-09
LCK Cup 2025;9;3;DRX;Nongshim RedForce;0;2025-02-09
LCK Cup 2025;10;1;Hanwha Life eSports;DRX;1;2025-02-08
LCK Cup 2025;10;2;Hanwha Life eSports;DRX;1;2025-02-08
LCK Cup 2025;11;1;T1;Nongshim RedForce;1;2025-02-08
LCK Cup 2025;11;2;T1;Nongshim RedForce;1;2025-02-08
LCK Cup 2025;12;1;Nongshim RedForce;OK BRION;1;2025-02-07
LCK Cup 2025;12;2;Nongshim RedForce;OK BRION;1;2025-02-07
LCK Cup 2025;13;1;DRX;DN Freecs;1;2025-02-07
LCK Cup 2025;13;2;DRX;DN Freecs;1;2025-02-07
LCK Cup 2025;14;1;Nongshim RedForce;BNK FearX;1;2025-02-02
LCK Cup 2025;14;2;Nongshim RedForce;BNK FearX;1;2025-02-02
LCK Cup 2025;15;1;OK BRION;Dplus KIA;1;2025-02-01
LCK Cup 2025;15;2;OK BRION;Dplus KIA;0;2025-02-01
LCK Cup 2025;15;3;OK BRION;Dplus KIA;0;2025-02-01
LCK Cup 2025;16;1;T1;Gen.G eSports;1;2025-02-01
LCK Cup 2025;16;2;T1;Gen.G eSports;0;2025-02-01
LCK Cup 2025;16;3;T1;Gen.G eSports;1;2025-02-01
LCK Cup 2025;17;1;DRX;Hanwha Life eSports;0;2025-01-31
LCK Cup 2025;18;1;DN Freecs;KT Rolster;1;2025-01-31
LCK Cup 2025;18;2;DN Freecs;KT Rolster;0;2025-01-31
LCK Cup 2025;18;3;DN Freecs;KT Rolster;0;2025-01-31
LCK Cup 2025;19;1;KT Rolster;OK BRION;1;2025-01-26
LCK Cup 2025;19;2;KT Rolster;OK BRION;1;2025-01-26
LCK Cup 2025;20;1;T1;Nongshim RedForce;1;2025-01-26
LCK Cup 2025;20;2;T1;Nongshim RedForce;1;2025-01-26
LCK Cup 2025;21;1;Gen.G eSports;DN Freecs;1;2025-01-25
LCK Cup 2025;21;2;Gen.G eSports;DN Freecs;1;2025-01-25
LCK Cup 2025;22;1;Hanwha Life eSports;Dplus KIA;1;2025-01-25
LCK Cup 2025;22;2;Hanwha Life eSports;Dplus KIA;0;2025-01-25
LCK Cup 2025;23;1;T1;KT Rolster;1;2025-01-24
LCK Cup 2025;23;2;T1;KT Rolster;0;2025-01-24
LCK Cup 2025;23;3;T1;KT Rolster;1;2025-01-24
LCK Cup 2025;24;1;DRX;BNK FearX;1;2025-01-24
LCK Cup 2025;24;2;DRX;BNK FearX;0;2025-01-24
LCK Cup 2025;24;3;DRX;BNK FearX;1;2025-01-24
LCK Cup 2025;25;1;Hanwha Life eSports;Nongshim RedForce;1;2025-01-23
LCK Cup 2025;25;2;Hanwha Life eSports;Nongshim RedForce;1;2025-01-23
LCK Cup 2025;26;1;OK BRION;Gen.G eSports;1;2025-01-23
LCK Cup 2025;26;2;OK BRION;Gen.G eSports;1;2025-01-23
LCK Cup 2025;27;1;DN Freecs;DRX;1;2025-01-22
LCK Cup 2025;27;2;DN Freecs;DRX;0;2025-01-22
LCK Cup 2025;27;3;DN Freecs;DRX;0;2025-01-22
LCK Cup 2025;28;1;Dplus KIA;BNK FearX;1;2025-01-22
LCK Cup 2025;28;2;Dplus KIA;BNK FearX;0;2025-01-22
LCK Cup 2025;28;3;Dplus KIA;BNK FearX;1;2025-01-22
LCK Cup 2025;29;1;BNK FearX;Gen.G eSports;0;2025-01-19
LCK Cup 2025;30;1;KT Rolster;Hanwha Life eSports;0;2025-01-19
LCK Cup 2025;31;1;DRX;T1;0;2025-01-18
LCK Cup 2025;32;1;Dplus KIA;DN Freecs;1;2025-01-18
LCK Cup 2025;32;2;Dplus KIA;DN Freecs;1;2025-01-18
