tournament;date;Team;GP;AGT;KD;CKPM;GPR;GSPD;EGR;MLR;GD15;FB%;FT%;F3T%;PPG;HLD%;GRB%;FD%;DRG%;ELD%;FBN%;BN%;LNE%;JNG%;WPM;CWPM;WCPM;winrate%
LEC 2025 Winter;2025-01-25;Movistar KOI;4;35.9;1.15;0.78;0.56;0.048;59.8;15.2;848.0;0.5;1.0;0.75;4.5;1.0;0.67;0.5;0.62;;0.75;0.8;0.49;0.541;3.48;1.51;1.92;0.75
LEC 2025 Winter;2025-01-25;Rogue;4;43.5;0.83;0.68;-0.45;-0.016;53.9;-28.9;-167.0;0.5;0.5;0.5;4.0;0.5;0.5;0.5;0.43;0.25;0.5;0.56;0.485;0.47100000000000003;3.82;1.25;1.66;0.25
LEC 2025 Winter;2025-01-25;SK Gaming;4;29.5;0.31;0.78;-1.3;-0.11900000000000001;40.7;-40.7;-524.0;0.5;0.5;0.5;6.3;0.5;0.46;0.75;0.47;;0.0;0.0;0.491;0.491;2.96;1.08;1.14;0.0
LEC 2025 Winter;2025-01-25;Team BDS;4;35.6;1.02;0.77;-0.06;-0.035;42.5;7.5;-712.0;0.75;0.5;0.5;3.8;0.75;0.67;0.5;0.57;;0.5;0.5;0.505;0.46299999999999997;3.26;1.26;1.59;0.5
LEC 2025 Winter;2025-01-25;Team Heretics;4;34.4;0.9;0.68;-0.49;-0.054000000000000006;42.8;7.2;-734.0;0.5;0.25;0.5;1.5;0.5;0.38;0.25;0.42;;0.5;0.6;0.49700000000000005;0.47100000000000003;3.45;1.24;1.57;0.5
LEC 2025 Winter;2025-01-25;Team Vitality;4;36.4;0.73;0.82;-1.0;-0.031;36.1;-11.1;-1098.0;0.5;0.75;0.25;2.8;0.75;0.46;0.5;0.47;1.0;0.5;0.33;0.495;0.45;3.33;1.27;1.39;0.25
LEC 2025 Winter;2025-01-26;Fnatic;5;29.8;1.54;0.85;1.28;0.061;61.2;18.8;1380.0;0.4;0.6;0.4;6.2;0.2;0.53;0.4;0.5;;0.4;0.6;0.517;0.5660000000000001;3.16;0.85;1.36;0.8
LEC 2025 Winter;2025-01-26;G2 Esports;5;34.5;1.01;0.81;0.54;0.031;64.9;-24.9;699.0;0.4;0.4;0.8;6.0;0.4;0.4;0.6;0.46;0.0;0.2;0.43;0.499;0.514;2.93;1.02;1.43;0.4
LEC 2025 Winter;2025-01-26;GiantX;5;39.9;1.65;0.72;0.97;0.085;56.4;23.6;425.0;0.6;0.4;0.4;3.8;0.2;0.47;0.6;0.56;0.75;1.0;0.7;0.511;0.508;3.32;1.18;1.77;0.8
LEC 2025 Winter;2025-01-26;Karmine Corp;5;32.2;1.85;0.81;0.1;0.035;50.3;29.7;338.0;0.2;0.4;0.6;6.2;0.4;0.43;0.6;0.58;1.0;0.2;0.25;0.508;0.521;3.53;1.19;1.59;0.8
