tournament,date,Team,GP,AGT,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,winrate%
LPL 2025 Split 2 Placements,2025-03-27,Invictus Gaming,6,32.4,2.08,0.97,,0.111,,,,0.33,1.0,,,0.67,0.56,0.5,0.82,,,1.0,0.511,0.5479999999999999,3.05,1.22,1.64,1.0
LPL 2025 Split 2 Placements,2025-03-27,JD Gaming,6,30.5,1.07,0.93,,0.003,,,,0.83,0.5,,,0.67,0.47,0.67,0.35,,,0.5,0.507,0.534,3.56,1.2,1.34,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-27,LGD Gaming,6,33.2,0.74,1.0,,-0.051,,,,0.33,0.33,,,0.33,0.56,0.5,0.48,,,0.4,0.484,0.456,3.1,1.16,1.34,0.16666666666666666
LPL 2025 Split 2 Placements,2025-03-27,LNG Esports,6,29.8,0.57,0.88,,-0.062,,,,0.5,0.17,,,0.33,0.42,0.33,0.32,,,0.0,0.498,0.462,3.38,1.21,1.47,0.0
LPL 2025 Split 2 Placements,2025-03-27,Ninjas in Pyjamas,3,29.2,0.9,0.89,,0.015,,,,0.67,0.67,,,0.67,0.56,0.33,0.25,,,1.0,0.504,0.503,3.14,1.13,1.6,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-27,Oh My God,3,29.2,0.27,0.86,,-0.177,,,,0.0,0.33,,,0.33,0.44,0.33,0.27,,,0.0,0.489,0.431,3.11,1.16,1.44,0.0
LPL 2025 Split 2 Placements,2025-03-27,Royal Never Give Up,3,33.3,0.8,0.97,,-0.07400000000000001,,,,0.0,0.0,,,0.33,0.22,0.67,0.46,,,0.25,0.49200000000000005,0.488,3.48,1.42,1.68,0.3333333333333333
LPL 2025 Split 2 Placements,2025-03-27,Team WE,7,33.4,0.62,0.76,,-0.057,,,,0.43,0.29,,,0.57,0.4,0.57,0.41,,,0.29,0.496,0.46799999999999997,3.4,1.29,1.63,0.2857142857142857
LPL 2025 Split 2 Placements,2025-03-27,ThunderTalk Gaming,3,30.4,0.41,0.79,,-0.015,,,,0.33,0.67,,,0.67,0.56,0.33,0.17,,,0.33,0.504,0.501,3.21,1.23,1.7,0.3333333333333333
LPL 2025 Split 2 Placements,2025-03-27,Top Esports,3,27.7,3.88,0.94,,0.155,,,,0.67,1.0,,,0.67,0.67,0.67,0.82,,,1.0,0.505,0.5760000000000001,3.47,1.39,1.14,1.0
LPL 2025 Split 2 Placements,2025-03-27,Ultra Prime,3,35.1,1.31,0.77,,0.026000000000000002,,,,0.67,0.67,,,0.67,0.61,0.33,0.6,,,0.75,0.49,0.519,3.98,1.6,1.44,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-27,Weibo Gaming,6,30.5,1.68,0.69,,0.048,,,,0.33,0.5,,,0.5,0.56,0.5,0.65,,,0.8,0.502,0.521,3.44,1.29,1.61,0.8333333333333334
LPL 2025 Split 2 Placements,2025-03-28,Anyone's Legend,6,33.4,1.58,1.15,,0.086,,,,1.0,0.67,,,0.67,0.53,0.67,0.68,,,0.86,0.515,0.511,3.23,1.31,1.67,0.8333333333333334
LPL 2025 Split 2 Placements,2025-03-28,Bilibili Gaming,6,32.4,1.71,0.82,,0.087,,,,0.33,0.5,,,0.33,0.53,0.5,0.65,,,0.86,0.514,0.522,3.47,1.38,1.75,0.8333333333333334
LPL 2025 Split 2 Placements,2025-03-28,EDward Gaming,7,34.8,0.7,0.76,,-0.059000000000000004,,,,0.86,0.71,,,0.57,0.52,0.43,0.33,,,0.22,0.49,0.495,3.76,1.41,1.58,0.14285714285714285
LPL 2025 Split 2 Placements,2025-03-28,FunPlus Phoenix,3,31.1,1.03,0.74,,0.008,,,,0.67,0.0,,,0.33,0.33,0.67,0.67,,,0.33,0.501,0.49,3.36,1.33,1.53,0.3333333333333333
LPL 2025 Split 2 Placements,2025-03-28,Invictus Gaming,6,32.4,2.08,0.97,,0.111,,,,0.33,1.0,,,0.67,0.56,0.5,0.82,,,1.0,0.511,0.5479999999999999,3.05,1.22,1.64,1.0
LPL 2025 Split 2 Placements,2025-03-28,JD Gaming,6,30.5,1.07,0.93,,0.003,,,,0.83,0.5,,,0.67,0.47,0.67,0.35,,,0.5,0.507,0.534,3.56,1.2,1.34,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-28,LGD Gaming,6,33.2,0.74,1.0,,-0.051,,,,0.33,0.33,,,0.33,0.56,0.5,0.48,,,0.4,0.484,0.456,3.1,1.16,1.34,0.16666666666666666
LPL 2025 Split 2 Placements,2025-03-28,LNG Esports,6,29.8,0.57,0.88,,-0.062,,,,0.5,0.17,,,0.33,0.42,0.33,0.32,,,0.0,0.498,0.462,3.38,1.21,1.47,0.0
LPL 2025 Split 2 Placements,2025-03-28,Ninjas in Pyjamas,3,29.2,0.9,0.89,,0.015,,,,0.67,0.67,,,0.67,0.56,0.33,0.25,,,1.0,0.504,0.503,3.14,1.13,1.6,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-28,Oh My God,3,29.2,0.27,0.86,,-0.177,,,,0.0,0.33,,,0.33,0.44,0.33,0.27,,,0.0,0.489,0.431,3.11,1.16,1.44,0.0
LPL 2025 Split 2 Placements,2025-03-28,Royal Never Give Up,7,36.9,0.75,0.89,,-0.085,,,,0.0,0.0,,,0.14,0.26,0.29,0.51,,,0.18,0.499,0.47200000000000003,3.58,1.4,1.59,0.2857142857142857
LPL 2025 Split 2 Placements,2025-03-28,Team WE,7,33.4,0.62,0.76,,-0.057,,,,0.43,0.29,,,0.57,0.4,0.57,0.41,,,0.29,0.496,0.46799999999999997,3.4,1.29,1.63,0.2857142857142857
LPL 2025 Split 2 Placements,2025-03-28,ThunderTalk Gaming,6,30.9,0.92,0.86,,0.036000000000000004,,,,0.5,0.67,,,0.5,0.67,0.33,0.38,,,0.5,0.5,0.509,3.2,1.29,1.53,0.5
LPL 2025 Split 2 Placements,2025-03-28,Top Esports,3,27.7,3.88,0.94,,0.155,,,,0.67,1.0,,,0.67,0.67,0.67,0.82,,,1.0,0.505,0.5760000000000001,3.47,1.39,1.14,1.0
LPL 2025 Split 2 Placements,2025-03-28,Ultra Prime,7,36.8,0.88,0.73,,-0.02,,,,0.57,0.71,,,0.71,0.57,0.71,0.43,,,0.6,0.488,0.511,3.87,1.57,1.55,0.42857142857142855
LPL 2025 Split 2 Placements,2025-03-28,Weibo Gaming,6,30.5,1.68,0.69,,0.048,,,,0.33,0.5,,,0.5,0.56,0.5,0.65,,,0.8,0.502,0.521,3.44,1.29,1.61,0.8333333333333334
LPL 2025 Split 2 Placements,2025-03-29,Anyone's Legend,6,33.4,1.58,1.15,,0.086,,,,1.0,0.67,,,0.67,0.53,0.67,0.68,,,0.86,0.515,0.511,3.23,1.31,1.67,0.8333333333333334
LPL 2025 Split 2 Placements,2025-03-29,Bilibili Gaming,6,32.4,1.71,0.82,,0.087,,,,0.33,0.5,,,0.33,0.53,0.5,0.65,,,0.86,0.514,0.522,3.47,1.38,1.75,0.8333333333333334
LPL 2025 Split 2 Placements,2025-03-29,EDward Gaming,7,34.8,0.7,0.76,,-0.059000000000000004,,,,0.86,0.71,,,0.57,0.52,0.43,0.33,,,0.22,0.49,0.495,3.76,1.41,1.58,0.14285714285714285
LPL 2025 Split 2 Placements,2025-03-29,FunPlus Phoenix,6,29.0,1.07,0.89,,0.02,,,,0.67,0.17,,,0.5,0.33,0.33,0.52,,,0.25,0.5,0.467,3.27,1.26,1.4,0.3333333333333333
LPL 2025 Split 2 Placements,2025-03-29,Invictus Gaming,6,32.4,2.08,0.97,,0.111,,,,0.33,1.0,,,0.67,0.56,0.5,0.82,,,1.0,0.511,0.5479999999999999,3.05,1.22,1.64,1.0
LPL 2025 Split 2 Placements,2025-03-29,JD Gaming,6,30.5,1.07,0.93,,0.003,,,,0.83,0.5,,,0.67,0.47,0.67,0.35,,,0.5,0.507,0.534,3.56,1.2,1.34,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-29,LGD Gaming,6,33.2,0.74,1.0,,-0.051,,,,0.33,0.33,,,0.33,0.56,0.5,0.48,,,0.4,0.484,0.456,3.1,1.16,1.34,0.16666666666666666
LPL 2025 Split 2 Placements,2025-03-29,LNG Esports,6,29.8,0.57,0.88,,-0.062,,,,0.5,0.17,,,0.33,0.42,0.33,0.32,,,0.0,0.498,0.462,3.38,1.21,1.47,0.0
LPL 2025 Split 2 Placements,2025-03-29,Ninjas in Pyjamas,6,30.8,0.8,1.0,,-0.006999999999999999,,,,0.5,0.5,,,0.5,0.53,0.33,0.33,,,0.83,0.5,0.505,3.04,1.06,1.53,0.5
LPL 2025 Split 2 Placements,2025-03-29,Oh My God,6,31.5,0.57,0.79,,-0.092,,,,0.17,0.5,,,0.33,0.42,0.67,0.42,,,0.4,0.49,0.467,3.28,1.21,1.6,0.16666666666666666
LPL 2025 Split 2 Placements,2025-03-29,Royal Never Give Up,7,36.9,0.75,0.89,,-0.085,,,,0.0,0.0,,,0.14,0.26,0.29,0.51,,,0.18,0.499,0.47200000000000003,3.58,1.4,1.59,0.2857142857142857
LPL 2025 Split 2 Placements,2025-03-29,Team WE,7,33.4,0.62,0.76,,-0.057,,,,0.43,0.29,,,0.57,0.4,0.57,0.41,,,0.29,0.496,0.46799999999999997,3.4,1.29,1.63,0.2857142857142857
LPL 2025 Split 2 Placements,2025-03-29,ThunderTalk Gaming,6,30.9,0.92,0.86,,0.036000000000000004,,,,0.5,0.67,,,0.5,0.67,0.33,0.38,,,0.5,0.5,0.509,3.2,1.29,1.53,0.5
LPL 2025 Split 2 Placements,2025-03-29,Top Esports,6,30.6,1.95,0.95,,0.079,,,,0.67,0.83,,,0.67,0.72,0.67,0.74,,,0.4,0.51,0.561,3.43,1.36,1.47,1.0
LPL 2025 Split 2 Placements,2025-03-29,Ultra Prime,7,36.8,0.88,0.73,,-0.02,,,,0.57,0.71,,,0.71,0.57,0.71,0.43,,,0.6,0.488,0.511,3.87,1.57,1.55,0.42857142857142855
LPL 2025 Split 2 Placements,2025-03-29,Weibo Gaming,6,30.5,1.68,0.69,,0.048,,,,0.33,0.5,,,0.5,0.56,0.5,0.65,,,0.8,0.502,0.521,3.44,1.29,1.61,0.8333333333333334
LPL 2025 Split 2 Placements,2025-03-30,Anyone's Legend,6,33.4,1.58,1.15,,0.086,,,,1.0,0.67,,,0.67,0.53,0.67,0.68,,,0.86,0.515,0.511,3.23,1.31,1.67,0.8333333333333334
LPL 2025 Split 2 Placements,2025-03-30,Bilibili Gaming,6,32.4,1.71,0.82,,0.087,,,,0.33,0.5,,,0.33,0.53,0.5,0.65,,,0.86,0.514,0.522,3.47,1.38,1.75,0.8333333333333334
LPL 2025 Split 2 Placements,2025-03-30,EDward Gaming,7,34.8,0.7,0.76,,-0.059000000000000004,,,,0.86,0.71,,,0.57,0.52,0.43,0.33,,,0.22,0.49,0.495,3.76,1.41,1.58,0.14285714285714285
LPL 2025 Split 2 Placements,2025-03-30,FunPlus Phoenix,10,29.8,1.25,0.91,,0.026000000000000002,,,,0.7,0.5,,,0.6,0.5,0.4,0.55,,,0.5,0.499,0.49,3.33,1.32,1.48,0.5
LPL 2025 Split 2 Placements,2025-03-30,Invictus Gaming,6,32.4,2.08,0.97,,0.111,,,,0.33,1.0,,,0.67,0.56,0.5,0.82,,,1.0,0.511,0.5479999999999999,3.05,1.22,1.64,1.0
LPL 2025 Split 2 Placements,2025-03-30,JD Gaming,6,30.5,1.07,0.93,,0.003,,,,0.83,0.5,,,0.67,0.47,0.67,0.35,,,0.5,0.507,0.534,3.56,1.2,1.34,0.6666666666666666
LPL 2025 Split 2 Placements,2025-03-30,LGD Gaming,7,33.3,0.72,0.98,,-0.051,,,,0.43,0.29,,,0.29,0.55,0.57,0.47,,,0.29,0.486,0.46,3.1,1.18,1.35,0.14285714285714285
