tournament;date;Team;GP;AGT;KD;CKPM;GPR;GSPD;EGR;MLR;GD15;FB%;FT%;F3T%;PPG;HLD%;GRB%;FD%;DRG%;ELD%;FBN%;BN%;LNE%;JNG%;WPM;CWPM;WCPM;winrate%
2025 Mid-Season Invitational;2025-07-04;FlyQuest;7;34.0;1.02;0.89;-0.06;-0.01;44.5;12.7;-434;0.29;0.43;0.43;2.1;0.29;0.43;0.43;0.47;1.0;0.43;0.5;0.49;0.499;3.59;1.11;1.37;0.5714285714285714
2025 Mid-Season Invitational;2025-07-04;FURIA;10;33.3;0.9;0.91;-0.67;-0.001;39.9;0.1;-612;0.5;0.7;0.5;3.9;0.1;0.63;0.5;0.43;0.0;0.4;0.5;0.503;0.475;3.02;1.11;1.32;0.4
2025 Mid-Season Invitational;2025-07-04;G2 Esports;20;32.5;0.79;0.82;-0.52;-0.031;45.7;-10.7;-506;0.4;0.25;0.35;3.1;0.45;0.35;0.55;0.43;0.33;0.25;0.35;0.495;0.503;3.2;1.01;1.34;0.35
2025 Mid-Season Invitational;2025-07-04;GAM Esports;13;32.3;0.82;0.88;-0.14;-0.022000000000000002;49.9;-11.4;24;0.46;0.38;0.46;4.7;0.54;0.41;0.31;0.47;1.0;0.31;0.36;0.499;0.47;3.22;1.23;1.22;0.38461538461538464
2025 Mid-Season Invitational;2025-07-04;Gen.G;7;30.3;1.19;0.88;0.71;0.045;55.9;15.5;544;0.86;0.71;0.71;2.6;0.57;0.62;0.14;0.6;0.0;0.57;0.8;0.513;0.504;3.48;1.28;1.58;0.7142857142857143
2025 Mid-Season Invitational;2025-07-04;Movistar KOI;4;36.1;0.85;0.75;-1.04;-0.021;31.3;-6.3;-926;0.5;0.0;0.5;2.3;0.5;0.08;0.25;0.37;0.0;0.75;0.5;0.501;0.46399999999999997;3.4;1.2;1.73;0.25
2025 Mid-Season Invitational;2025-07-04;T1;5;31.5;1.1;1.08;0.1;-0.004;50.6;9.4;674;0.4;0.6;0.6;6.0;0.4;0.4;0.4;0.41;;0.0;0.2;0.517;0.495;3.44;1.23;1.74;0.6
2025 Mid-Season Invitational;2025-07-05;Anyone's Legend;9;31.3;1.11;0.92;0.45;0.016;58.7;-3.1;836;0.44;0.78;0.56;1.8;1.0;0.89;0.56;0.46;;0.56;0.6;0.502;0.528;3.55;1.32;1.7;0.5555555555555556
2025 Mid-Season Invitational;2025-07-05;Bilibili Gaming;12;32.5;1.49;0.88;1.19;0.035;64.4;10.6;1017;0.75;0.75;0.67;4.7;0.67;0.67;0.75;0.65;1.0;0.42;0.58;0.5;0.535;3.15;1.23;1.54;0.75
2025 Mid-Season Invitational;2025-07-05;CTBC Flying Oyster;9;32.0;1.05;0.93;0.36;0.027999999999999997;52.9;2.6;-101;0.56;0.56;0.56;4.9;0.56;0.56;0.67;0.6;;0.78;0.8;0.48700000000000004;0.523;3.92;1.55;1.55;0.5555555555555556
